team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
OB,2724368009,542,1,58,59,1,44.0,37.4,T. Trybull,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,41.7,59.9,0.00003864,NaN,NaN,NaN,15.5,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724368075,543,1,59,1,1,47.8,65.7,J. Gomez,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,57.0,73.8,0.00018676,NaN,NaN,NaN,11.1,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724376903,543,1,64,8,0,94.1,55.7,O. Skolnik,NaN,124.0,NaN,NaN,OB vs Roskilde,2024-09-22,87.9,62.0,NaN,NaN,NaN,NaN,7.8,2.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724368095,544,1,59,4,1,57.0,73.8,M. Ejdum,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,64.6,73.3,0.0005286,NaN,NaN,NaN,8.0,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724376963,544,27,66,28,1,87.9,62.0,NaN,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724368131,545,1,59,5,1,64.6,73.3,W. Martin,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,59.5,65.4,0.00042928,NaN,NaN,NaN,7.6,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724378099,545,28,67,41,1,87.9,62.0,NaN,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724368199,546,1,59,7,1,60.7,64.2,M. Ejdum,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,60.8,40.6,0.00064211,NaN,NaN,NaN,16.0,4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724378713,546,83,68,15,0,34.2,22.0,M. Lysholm,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724368243,547,1,59,10,1,74.9,32.1,J. Bonde,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,88.5,13.5,0.00301263,NaN,NaN,NaN,19.1,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379171,547,4,68,41,1,21.6,64.3,A. Maarup,190.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724368249,548,1,59,12,0,88.5,13.5,L. Owusu,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,89.4,29.8,NaN,NaN,NaN,NaN,11.1,1.5,NaN,true,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379435,548,1,68,54,1,25.4,60.9,H. Askham,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,25.9,76.5,0.00000308,NaN,NaN,NaN,10.6,1.5,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,NaN,NaN
OB,2724368593,549,1,59,20,1,86.0,11.7,J. Bonde,174.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,86.8,23.0,0.00521379,NaN,NaN,NaN,7.7,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379501,549,1,68,57,1,26.2,84.0,O. Skolnik,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,12.0,53.4,0.00000091,NaN,NaN,NaN,25.6,4.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379549,550,1,69,1,1,11.7,43.1,M. Brylov,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,25.4,21.1,0.00000234,NaN,NaN,NaN,20.8,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724368601,550,1,59,25,0,97.5,27.4,L. Deedson,174.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,95.8,43.0,NaN,NaN,NaN,NaN,10.8,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724369373,551,1,59,53,1,63.7,35.0,J. Bonde,176.0,119.0,NaN,NaN,OB vs Roskilde,2024-09-22,68.1,58.3,0.00192358,NaN,NaN,NaN,16.5,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379645,551,1,69,6,1,30.3,20.0,M. Lysholm,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,46.6,4.3,0.00002015,NaN,NaN,NaN,20.2,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379663,552,1,69,11,1,40.1,25.4,M. Juhl,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,34.6,32.2,0.00001148,NaN,NaN,NaN,7.4,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724369447,552,49,59,52,1,63.1,41.9,J. Bonde,176.0,119.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379781,553,1,69,12,1,34.6,32.2,H. Askham,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,37.5,76.8,0.00001867,NaN,NaN,NaN,30.5,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724369455,553,4,59,55,0,66.0,45.4,W. Martin,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379841,554,1,69,20,1,61.7,90.9,O. Skolnik,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,49.2,79.4,0.00007788,NaN,NaN,NaN,15.3,3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724370079,554,44,60,25,0,26.6,29.8,T. Trybull,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379877,555,1,69,23,1,47.2,77.9,N. Halse,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,34.3,61.5,0.00001648,NaN,NaN,NaN,17.5,3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724370127,555,1,60,26,1,24.5,33.6,J. Gomez,178.0,121.0,NaN,NaN,OB vs Roskilde,2024-09-22,11.5,48.5,0.00000031,NaN,NaN,NaN,17.0,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379947,556,1,69,26,1,32.4,57.2,H. Askham,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,37.8,24.4,0.00001686,NaN,NaN,NaN,23.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724370137,556,52,60,28,1,11.5,48.5,V. Myhra,178.0,121.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724370281,557,1,60,28,1,11.5,48.5,V. Myhra,178.0,121.0,NaN,NaN,OB vs Roskilde,2024-09-22,22.9,71.2,0.00000195,NaN,NaN,NaN,19.5,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724379967,557,1,69,31,0,53.2,8.9,M. Lysholm,191.0,128.0,NaN,NaN,OB vs Roskilde,2024-09-22,58.2,11.0,NaN,NaN,NaN,NaN,5.4,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724370421,558,1,60,36,1,30.2,85.9,N. Mickelson,178.0,121.0,NaN,NaN,OB vs Roskilde,2024-09-22,30.3,67.2,0.00000592,NaN,NaN,NaN,12.7,4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724380159,558,52,69,40,1,4.3,42.7,M. Brylov,193.0,130.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
