sequence_id,receiver_Uuid,receiver_name,receiver_position,game_id,match_id,team_name,period,poss_player_Uuid,poss_player_name,poss_player_position,deep_run_opportunity,deep_run,pass_received,Low base,High base,Width,Pocket,num_teammates_in_box,poss_in_assist_zone,option_between_lines,time_on_ball,gameclock_first,gameclock_last,timemin_first,timemin_last,timesec_first,timesec_last,possessor_x,possessor_y,receiver_x,receiver_y,local_date,description
5,6j52ab9vnkhef31151cmjywnp,M. Boesen,ST,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,False,True,20.6,22.28,0,0,20,22,13.57,23.29,-11.92,20.6,2025-07-19,Hillerød vs Middelfart
5,846p691upy8hsw0pgteb6ktuc,N. Rasmussen,LB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,False,True,20.6,22.28,0,0,20,22,13.57,23.29,11.26,-5.16,2025-07-19,Hillerød vs Middelfart
5,8i16xur310p25unjt0zjrluj9,C. Radza,GK,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,True,True,False,False,False,0,False,False,True,20.6,22.28,0,0,20,22,13.57,23.29,37.92,5.76,2025-07-19,Hillerød vs Middelfart
5,8pit4oud8sym57oc8m0f3j8ix,R. Kakeeto,LCM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,False,True,20.6,22.28,0,0,20,22,13.57,23.29,-1.68,14.21,2025-07-19,Hillerød vs Middelfart
5,a5ah5r5vl0pjgt655lc5qqvop,B. Bytyqi,LM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,False,True,20.6,22.28,0,0,20,22,13.57,23.29,1.72,24.41,2025-07-19,Hillerød vs Middelfart
5,ef7l91pb4w6yk7lijxjxlievp,M. Greve,CB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,False,True,20.6,22.28,0,0,20,22,13.57,23.29,5.11,17.64,2025-07-19,Hillerød vs Middelfart
6,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,False,True,24.16,26.96,0,0,24,26,37.85,4.61,5.91,32.59,2025-07-19,Hillerød vs Middelfart
6,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,False,True,24.16,26.96,0,0,24,26,37.85,4.61,-2.38,23.97,2025-07-19,Hillerød vs Middelfart
6,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,False,True,24.16,26.96,0,0,24,26,37.85,4.61,25.2,24.24,2025-07-19,Hillerød vs Middelfart
6,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,True,True,24.16,26.96,0,0,24,26,37.85,4.61,3.44,17.97,2025-07-19,Hillerød vs Middelfart
