competition,season,team,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
1.Div,2025,HIK,647806,Marco Bruhn,23,ST,11130.179482267407,2794.3416656549143,5497.003240389913,1841.4619106976538,720.6073838457353,276.7690853863302,108.47207120673313,158.29106087445737,56.35892176252193,4908.197543422781,358.81637197548105,110.48003785605891,49.2589728801377,2100.369321753063,17.52355098687979,7.997780070977349,2.8541765640734953,7
1.Div,2025,HIL,210068,Adrian Justinussen,17,CF,10936.851136072635,2863.2598529112793,5176.816474301994,1793.9520575727122,756.3022379625774,346.5190872511367,116.0222359152924,181.41572432806086,61.0709133041441,4719.633656424985,338.7281933826143,155.23186269344146,50.4135547615793,1881.9734518069843,35.74197028771541,9.874550704700384,4.537767849569005,18
1.Div,2025,HIL,210068,Adrian Justinussen,17,LAM,10780.41313651888,2846.1670693028277,5119.686934411307,1911.4497389008616,733.2232477178562,169.89154510624397,94.21849135994276,51.31979930016585,45.59049380292117,3497.2887941169856,283.5250878672907,113.70298838033172,44.76424249432132,2034.906603026096,37.469386329719825,4.868757425746416,3.8637550627002675,18
1.Div,2025,HIL,210068,Adrian Justinussen,17,LF,11640.190619356506,2574.0834718297424,5208.6412791094735,2422.109579200165,1060.1647927336815,375.1866546898107,159.6483940481768,170.00152458743585,69.79042294035195,5065.891968334038,508.73982500829015,194.16693942792824,85.09878162144835,1955.811931765182,52.51957380129581,11.022165061728636,4.759189486376525,18
1.Div,2025,HIL,210068,Adrian Justinussen,17,LM,11406.132562882392,2499.408905506458,5376.927940176751,2082.1753908905507,1000.6886471787901,446.9316791298437,148.6743711760707,244.48674371176068,71.58395649218218,4912.614208021754,495.52617267165203,170.3422841604351,65.15975526852482,2117.471787899389,56.94595513256288,32.10265125764786,11.9306594153637,18
1.Div,2025,HIL,210068,Adrian Justinussen,17,LW,11557.380735551666,2731.0854640980733,5102.877057793345,2077.1369527145357,1160.5649737302977,485.71628721541157,194.81611208406306,294.9099824868651,119.15936952714536,4361.9232924693515,360.4476357267951,153.7155866900175,65.2539404553415,2657.357968476357,68.76252189141856,37.09071803852889,10.402802101576182,18
1.Div,2025,HIL,210068,Adrian Justinussen,17,RAM,11634.461921560489,2742.9400290516705,5413.480390122431,2133.9244656567753,875.2952894791451,468.83295289479145,145.6733762191326,272.40921352977796,72.8366881095663,5369.856816766965,451.217680016601,181.8451960987757,66.1133015148371,1927.49408590994,49.853911599917,14.578543266237808,6.723386594729197,18
1.Div,2025,HIL,210068,Adrian Justinussen,17,ST,10752.026282517749,2918.507871473645,5020.480894661453,1659.6982463953657,818.6720390342085,334.67034244832183,124.49016478193532,216.3594884987031,74.11029638447103,4029.558445849291,291.6074962259948,99.66864323283444,42.25230169418604,2358.450241996923,63.702377974313116,18.648439634960997,8.127566703278264,18
1.Div,2025,HIL,229223,Kasper Enghardt,21,CB,9668.086735000777,2999.5754534211023,4322.032957797181,1568.0907670538852,591.696978564375,186.69057816423424,83.18318771921244,36.51535778658348,24.448306653929688,4221.517432879101,388.22248559641673,143.07213735366295,55.01190509477646,1697.8520464976045,38.15833761271533,7.098375996260582,3.722975970506287,5
1.Div,2025,HIL,229223,Kasper Enghardt,21,RCB,9653.546511627907,3113.4244186046512,4476.2965116279065,1427.6511627906975,465.95930232558135,170.21511627906978,65.40697674418604,15.19186046511628,11.337209302325581,5213.816860465116,333.7936046511628,140.88662790697674,50.58139534883721,1647.2093023255813,23.63372093023256,14.136627906976745,3.488372093023256,5
1.Div,2025,HIL,422426,Monday Bassey Etim,9,CF,10938.416543574594,2730.642540620384,5119.1388478581985,1915.5243722304285,858.0576070901034,315.05317577548004,115.6573116691285,278.53471196454944,73.11669128508125,4128.420974889217,297.3057607090103,31.905465288035447,39.88183161004431,2602.262924667651,33.99261447562777,4.612998522895126,2.658788774002954,7
1.Div,2025,HIL,422426,Monday Bassey Etim,9,RF,10336.274891070792,2832.440782273127,4902.873760775124,1579.8097804475408,698.4197494622877,322.7258879565927,119.51157630568132,205.88263042261988,68.64685760318937,4287.45205396123,299.8278199740616,106.51041815275642,46.1188928699742,1874.4928155628488,44.98372103300638,10.337732049093736,4.745825832517751,7
1.Div,2025,HIL,422426,Monday Bassey Etim,9,ST,9663.296351509774,2997.3143924468186,4487.5283995127065,1383.7606047992638,580.8011882754685,213.89493716426023,88.6245340978785,118.08202099511193,47.471769930583065,3734.1870414752407,275.5320804283145,77.95824196134625,37.28822166471715,1754.363097155554,33.44602592053622,17.85776539791027,3.864542502578264,7
1.Div,2025,HIL,428990,Gregers Arndal-Lauritzen,4,CB,9640.037024221454,2896.558131487889,4686.3965397923885,1452.5439446366784,487.0557093425606,117.49204152249135,65.39792387543253,25.692041522491348,14.94809688581315,4019.5245674740486,358.8757785467128,89.79134948096886,50.44982698961938,1949.0076124567474,13.901730103806232,2.0179930795847754,0.0,6
1.Div,2025,HIL,428990,Gregers Arndal-Lauritzen,4,LCB,9886.62191169567,3177.70920404524,4455.714891296396,1446.0834574911923,600.3286988213861,206.790234758478,76.94185681326965,70.47177969046248,22.54126535055889,4091.8667089171286,375.62164209534797,121.80942803633161,50.32841673477875,1798.9289278720532,28.143126748708493,14.51017382436826,4.072174727932015,6
1.Div,2025,HIL,428990,Gregers Arndal-Lauritzen,4,LWB,10890.604787904242,2747.014699706006,4613.82486350273,2102.0537589248215,1060.4955900881982,367.20453590928184,129.27341453170936,236.75178496430073,64.63670726585468,4674.469970600589,553.4036119277614,121.90256194876103,57.83284334313314,1996.5598488030241,52.58252834943301,8.550188996220077,6.803863922721546,6
1.Div,2025,HIL,429775,Adrian Kappenberger,1,GK,5176.949208463764,3420.6183391323325,1547.3443359726016,153.97796867850653,46.70054270616371,8.309531040501595,6.090905820057547,2.0612171088804043,1.960476405313564,2025.7678941484871,25.116857898131745,5.377096442096435,3.4581558038775704,1185.0002567357005,7.26000420907793,0.8712223812707048,0.6722736108664136,18
1.Div,2025,HIL,429888,Tobias Arndal,8,CAM,11758.18088676672,2889.9654383510283,5332.450009689836,2371.1165884371585,899.0062667089251,265.647535436718,113.62200941870411,106.3869924129307,46.15821053696737,5163.142463512996,466.24211945833116,150.39867496448895,64.69673603912734,2086.9399321905007,37.635527946685876,8.86611234130733,2.7670628426093984,8
1.Div,2025,HIL,429888,Tobias Arndal,8,RAM,10300.17980573752,3264.0786085385134,4601.8807318726,1851.4669076123785,500.58866049243284,82.15269934492885,52.45086966342895,55.65891122656427,28.05511633160154,3606.680370454032,269.68285520668627,25.73751976507793,21.956177998644684,1930.8384910774791,27.920939688276487,0.7562683532866502,2.4395753331827423,8
1.Div,2025,HIL,429888,Tobias Arndal,8,RW,11997.350993768407,2645.7037916758504,5445.380544100233,2480.1723502299783,1035.5713240470636,390.5260407804966,153.17074531023093,174.12884958571763,71.08293228522885,5403.921045785139,571.08692438556,202.22916944129906,79.65287991978383,2159.206163703798,30.662032611100386,14.168021753479909,2.4349331052182417,8
1.Div,2025,HIL,490906,Solomon Opoku,14,RW,10983.55840821566,2773.8670089858792,5892.765596919127,1683.6631578947367,508.3347881899872,124.94172015404365,63.77406931964056,98.73889602053913,34.65982028241335,4311.6955070603335,223.59743260590497,26.202824133504485,27.727856225930676,2191.13838254172,15.541463414634146,0.0,1.386392811296534,1
1.Div,2025,HIL,493833,Jonathan Witt,7,CB,8898.119013074962,3452.925765796835,3991.2903854589676,984.9379149593693,370.23833381616737,98.72837797620687,47.39490028234116,14.339782524438192,9.77717091867856,3882.029257668915,266.7248829157253,79.10527677774635,35.40268045939337,1822.0769565079452,23.74332109947261,5.283277624553929,2.215048904269227,12
1.Div,2025,HIL,493833,Jonathan Witt,7,LCB,8919.200186341313,3511.7063948731006,4030.161595193249,1028.525198403401,308.2975041425533,40.51416986340465,35.534170972481014,11.23816078640343,10.623980256085968,3656.1003038304107,213.4118359052053,24.948938100587814,21.680606257404143,2083.8827839323794,31.611595157928,4.331747110808974,3.2295844589909004,12
1.Div,2025,HIL,506400,Poul Kallsberg,10,RAM,12329.709251101323,2438.881057268723,6138.568281938327,2366.1806167400887,1061.0881057268723,324.9911894273128,142.73127753303964,230.11453744493392,84.58149779735683,4141.453744493392,373.81057268722475,63.96475770925111,47.57709251101321,3272.9074889867848,91.40088105726872,30.911894273127757,10.572687224669604,4
1.Div,2025,HIL,506400,Poul Kallsberg,10,RM,13579.456156250646,2205.850577425793,6414.599142925268,3033.9262913553252,1460.0681559501477,465.0049667219395,206.17964817691973,233.08278044101456,98.86827375437275,5562.20586843598,736.7053651005529,207.54188941863288,96.44148494294333,2359.6800128038603,79.58714758082164,24.387487275075046,10.869889479603646,4
1.Div,2025,HIL,506400,Poul Kallsberg,10,RW,12669.673559822746,2322.2924667651405,5978.844903988183,2810.2998522895123,1210.0147710487445,348.2215657311669,163.51550960118166,209.698670605613,83.75184638109305,4888.728212703101,531.9571639586411,121.44017725258493,69.1285081240768,2926.8478581979316,99.34564254062037,17.082717872968978,10.635155096011816,4
1.Div,2025,HIL,506406,Rasmus Kawiecky Moller,2,CB,9163.095246326706,3151.322385479689,4453.389801210025,1169.6950734658599,290.3678478824546,98.31080380293861,36.40449438202247,26.14589455488332,6.534140017286084,3269.226274848747,163.48418323249783,66.97493517718236,27.07000864304235,2590.413137424373,48.100605012964564,5.180639585133966,2.800345721694036,11
1.Div,2025,HIL,506406,Rasmus Kawiecky Moller,2,LCB,10170.490649186433,2926.6478235098025,4874.644563326312,1613.1820762607656,573.6765358330915,182.33777719014728,81.21281679520048,46.07924981127111,24.469682602456036,4476.159838710546,368.2086403704564,127.45747254230946,52.71348298270135,1884.701872220015,30.70247311631801,8.80292140796329,4.029651210043097,11
1.Div,2025,HIL,569059,Cornelius Allen,3,RB,10301.789865391715,3012.73542676213,4956.7976802186495,1418.4272453349142,592.543606086711,321.28590698931,89.35534224269533,164.52607121774247,40.5371439210316,4024.580754787485,299.0740285145794,143.62684575397307,41.1828095608707,2430.3628926475426,44.278385991343015,13.12987259466403,7.635388760793025,16
1.Div,2025,HIL,569059,Cornelius Allen,3,RWB,10755.873684638704,2831.479943570992,5111.7690500906265,1721.3526872052537,753.0650086999268,338.21058416889315,115.3101840203258,140.24189609733463,47.671173020977854,4440.475501454521,389.16797998845226,174.197264911165,59.97828078664981,2296.253400399741,54.71187115466327,23.769271877006602,7.6607302126981605,16
1.Div,2025,HIL,582618,Lucas Boje-Larsen,5,LCB,9821.409853068279,2946.1037165082107,4846.586343993085,1469.9948141745892,446.41244598098524,112.31253241140881,66.27484874675886,50.51823681936041,27.07000864304235,3455.9626620570443,207.6736387208297,47.32584269662921,29.870354364736386,2828.003802938634,62.48504753673293,14.468452895419187,9.33448573898012,3
1.Div,2025,HIL,582618,Lucas Boje-Larsen,5,RWB,11027.505650297924,2648.3965481816317,5707.035545510582,1840.3381960139718,612.71748510376,219.0178754879803,73.22786110540375,51.90302034107253,25.518800082186157,4309.337579617835,380.61845079104177,166.47133757961782,46.599547976166015,1477.5829052804604,14.545716046846108,0.6435175672899117,1.109513047051572,3
1.Div,2025,HIL,582618,Lucas Boje-Larsen,5,SUB,11186.49307875895,2768.911217183771,5274.008591885441,2130.783293556086,721.164200477327,291.61288782816234,91.5035799522673,111.47971360381862,41.241050119331746,4593.466825775657,345.52267303102633,180.14606205250598,45.1073985680191,2621.848210023866,46.22863961813842,0.0,5.155131264916468,3
1.Div,2025,HIL,582621,Marinus Due Grandt,6,LCM,11133.872006518472,2642.214901172853,6419.782125982571,1698.6033588538994,348.3735541496845,24.892998934178507,35.58737546229587,0.694533762057878,5.414463051708628,4942.449794079693,298.4739249971642,24.198465172120624,29.439416078068895,1663.539262438047,2.519155586353442,0.0,0.7334963325183373,2
1.Div,2025,HIL,586658,Nicklas Bjerre Schmidt,12,LCM,12651.950600232381,2256.8442244872667,6720.112194091432,2659.5148719634094,822.6677819253513,192.81258760667185,99.98921804922018,77.74208598898241,36.0914706255583,5801.2999044135295,514.8703038938876,109.4974115529061,61.11250238192297,1995.3000269687027,20.032113080967054,5.573090064783313,2.7852450417388965,13
1.Div,2025,HIL,586658,Nicklas Bjerre Schmidt,12,LDM,11807.520183597066,2511.763429257868,6010.755038072727,2329.3619459728657,754.1578177308879,201.48015003918457,99.2857216647407,66.64191229911005,39.77987109035484,4736.40531802578,408.99963975669783,124.43150366492766,55.32874883226578,2151.52887621728,31.896950786688024,10.404931551613924,4.177101742120075,13
1.Div,2025,HIL,586658,Nicklas Bjerre Schmidt,12,RCM,12495.989598366943,2365.8351739124205,6341.113805015754,2765.1876804831522,844.3850093098912,179.46021094932644,104.38773624447099,56.01419921480612,35.98024931112145,5390.426547905842,519.6536245908377,122.56761589483627,64.47986409429079,2253.2917089434704,40.2761052954422,0.8822551878830344,3.927622839058735,13
1.Div,2025,HIL,586658,Nicklas Bjerre Schmidt,12,RDM,11485.437131970904,2498.3463803255977,6261.184967093869,2097.9289920332526,563.7734672670593,64.21267751991687,59.85452026324905,18.19016279875303,28.056806373397993,4232.303775545549,311.2341531001039,46.013162452372704,29.927260131624525,2605.4298579840665,18.1246969172151,0.0,1.8704537582265328,13
1.Div,2025,HIL,590182,William Glindtvad,25,RCB,10062.148948177915,3169.305963152472,4823.591794539883,1344.4474180443117,540.4866201727398,184.31385653247335,76.45338167902732,45.967583742145415,23.392308930059794,4171.098936696869,335.87665676942385,120.04324208365627,47.488679767102006,2141.2487753673763,44.26758222725766,18.303053873884735,5.572392981865519,12
1.Div,2025,HIL,620119,Hjalte Toftegaard,16,RAM,11306.4832574337,2850.977230109831,5569.608893651219,1921.8242700241094,771.753013661934,192.3198499866059,89.68657915885346,123.72408250736673,43.39673185105813,3973.419233860166,556.6932761853736,68.6102330565229,46.28984730779534,2073.843021698366,1.6780069649075808,0.0,0.0,1
1.Div,2025,HIL,625261,Mikkel Mouritz Jensen,11,LCM,12471.639707846474,2232.30055563587,5997.44867797006,3089.7624565012916,966.1550994012782,185.97912984568674,114.1962644931512,41.688403489145266,35.98940446878754,5420.956682305836,607.3103940623711,140.77126441557513,73.83100396956512,2196.8998072722775,30.749461163062392,3.5226143052395824,4.375856054798553,18
1.Div,2025,HIL,625261,Mikkel Mouritz Jensen,11,LDM,11599.057845514375,2478.725320401801,5755.919293384135,2627.735019050918,652.1149982680984,84.57256667821268,59.85452026324905,48.547627294769654,30.862487010737787,4028.2653273294077,282.7751991686872,32.443020436439205,26.186352615171458,2703.6380325597506,40.40180117769311,3.5819189470038104,2.805680637339799,18
1.Div,2025,HIL,625261,Mikkel Mouritz Jensen,11,RCM,12236.300620836226,2319.547565498251,6102.450145093973,2787.731907107294,843.3010761640434,183.2739667459645,99.57775145294916,77.8213869824101,39.21902258825393,5345.298992365453,528.553615822604,98.64670448322521,56.26839859098737,2015.9052349583892,28.250006347704495,6.803174785033562,4.090330273707856,18
1.Div,2025,HIL,625261,Mikkel Mouritz Jensen,11,RDM,11542.489859898842,2577.9720985247754,5711.2689625670655,2322.35053515377,760.6200250264095,170.2808497474616,96.74602879844822,65.07022324375774,37.18448981006191,4816.4905805933795,468.47733385034815,98.81120995417244,56.37620448650235,2135.5947791727276,32.167902832938275,6.398057682926806,3.185334501883932,18
1.Div,2025,HIL,625316,Victor Dedes,24,LB,10624.240279983023,2655.1234128161823,5182.100868491968,1600.710954847766,772.4562263131809,413.83836945650523,130.03379220594212,153.3004571908508,49.56021163440165,4472.02048752185,430.9226611445649,233.14440683159768,73.06067832223867,1890.095322623008,44.366906082226095,27.399225773039838,7.412902249301823,15
1.Div,2025,HIL,625316,Victor Dedes,24,LWB,11222.041436684509,2601.5720052456063,5366.183291584325,1951.7289083102698,882.8393464187061,419.72058416706966,131.66897224562237,202.5308732910113,58.705568200141634,4468.434439272759,461.9032625968591,201.93380123743702,66.6500149063361,2185.7499260969016,48.344048509572346,15.257711657673578,6.313389139144638,15
1.Div,2025,HIL,649526,Saman Sebastean Jalaei,22,CAM,9618.693561872911,3551.843227424749,3995.435618729097,1431.3386287625417,456.59573578595314,183.48035117056855,69.98327759197325,119.05058528428093,46.279264214046826,3387.7663043478256,190.46739130434784,62.059364548494976,21.44648829431438,2490.8628762541803,22.281772575250834,2.370401337792642,2.25752508361204,10
