team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
ACH,16,1076.4833333333333,118922.21,17992.62,7191.57,2411.99,935,546,366,23,e586082d-6d21-4d59-a114-39913a966e72,ACH - HBK : 2023-8-4,2023,1.Div
HBK,16,1076.4666666666667,116716.61,17158.99,6779.889999999999,2350.2599999999998,920,494,402,24,e586082d-6d21-4d59-a114-39913a966e72,ACH - HBK : 2023-8-4,2023,1.Div
HIK,16,1094.9833333333333,124965.15,20086.61,7560.95,2631.46,1110,623,436,51,fe03f318-611d-421d-8b17-4a12d3e673ef,HIL - HIK : 2023-8-4,2023,1.Div
HIL,14,1095.0166666666667,126370.79,21339.63,8020.85,2849.55,1194,598,550,46,fe03f318-611d-421d-8b17-4a12d3e673ef,HIL - HIK : 2023-8-4,2023,1.Div
HEL,16,1117.7,126001.28,21517.12,9943.73,4031.33,1447,770,530,147,cc92baa9-794b-4950-b68c-924be9409115,VFN - HEL : 2023-8-5,2023,1.Div
VFN,16,1117.7,122370.66,20081.26,8129.5199999999995,3364.75,1275,623,575,77,cc92baa9-794b-4950-b68c-924be9409115,VFN - HEL : 2023-8-5,2023,1.Div
B93,16,1094.65,113186.8,16408.71,5882.7699999999995,1444.68,689,302,359,28,861ba93e-423f-42b6-b2ac-b82fe83c0732,B93 - KIF : 2023-8-5,2023,1.Div
KIF,16,1094.6166666666666,111498.83,16154.66,6434.7,1470.02,798,444,317,37,861ba93e-423f-42b6-b2ac-b82fe83c0732,B93 - KIF : 2023-8-5,2023,1.Div
NVD,16,1123.9666666666667,124709.37,21151.0,9094.470000000001,3559.92,1352,716,569,67,8d0cb1db-73aa-46a4-8841-c196c49c9ccb,NVD - SJE : 2023-8-6,2023,1.Div
SJE,16,1123.9333333333334,127320.28,22024.88,10348.26,4237.25,1543,833,629,81,8d0cb1db-73aa-46a4-8841-c196c49c9ccb,NVD - SJE : 2023-8-6,2023,1.Div
AAB,16,1122.9,124650.94,21017.05,7847.26,2428.33,1027,542,427,58,7dff7fc4-97e2-4f01-834f-bddf6be1dd04,AAB - FRE : 2023-8-6,2023,1.Div
FRE,16,1122.9166666666667,116562.75,18279.78,7291.85,2328.09,972,461,444,67,7dff7fc4-97e2-4f01-834f-bddf6be1dd04,AAB - FRE : 2023-8-6,2023,1.Div
FRE,16,1076.0833333333333,115077.24,17408.29,7237.06,2648.03,980,423,523,34,02623841-ce1d-4362-b5c2-7fbcd51dce3d,FRE - HIL : 2023-8-11,2023,1.Div
HIL,15,1076.1,118164.33,18282.01,7129.39,2287.24,945,579,330,36,02623841-ce1d-4362-b5c2-7fbcd51dce3d,FRE - HIL : 2023-8-11,2023,1.Div
AAB,14,1074.9833333333333,124114.09,21540.99,8766.199999999999,3382.59,1239,636,536,67,aba7d150-b19d-4494-bd6b-813ad7c4a5b7,HEL - AAB : 2023-8-11,2023,1.Div
HEL,15,1076.9,123949.66,21928.38,9370.72,4014.27,1361,718,561,82,aba7d150-b19d-4494-bd6b-813ad7c4a5b7,HEL - AAB : 2023-8-11,2023,1.Div
B93,16,1061.2333333333333,126148.75,22583.67,9699.48,3604.5099999999998,1339,718,578,43,fd83bb20-d232-4a70-aeb5-f8fe50df26f4,HBK - B93 : 2023-8-11,2023,1.Div
HBK,15,1061.2666666666667,118667.98,19242.98,8375.44,3473.78,1258,682,532,44,fd83bb20-d232-4a70-aeb5-f8fe50df26f4,HBK - B93 : 2023-8-11,2023,1.Div
ACH,16,1069.1333333333334,115329.34,16637.45,6443.7300000000005,2192.35,969,570,358,41,847ee11c-1dff-4aa6-a4e5-f1b916c9021a,SJE - ACH : 2023-8-12,2023,1.Div
SJE,16,1069.15,124054.86,20729.59,8133.77,3008.84,1226,555,573,98,847ee11c-1dff-4aa6-a4e5-f1b916c9021a,SJE - ACH : 2023-8-12,2023,1.Div
KIF,16,1138.05,116253.76,17983.6,8726.77,3440.1299999999997,1272,628,509,135,6ac67866-f347-4e33-a23b-2c76929dafb5,NVD - KIF : 2023-8-13,2023,1.Div
NVD,16,1075.7,111623.54000000001,17594.63,6946.43,2851.88,1074,520,430,124,6ac67866-f347-4e33-a23b-2c76929dafb5,NVD - KIF : 2023-8-13,2023,1.Div
HIK,15,1061.6333333333334,109843.32,13883.27,5509.24,1935.31,777,365,378,34,fe3f50f7-64a1-47f6-b116-6a7d6b69429b,HIK - VFN : 2023-8-13,2023,1.Div
VFN,15,1061.6166666666666,111939.39,15077.84,5505.02,1834.87,796,425,326,45,fe3f50f7-64a1-47f6-b116-6a7d6b69429b,HIK - VFN : 2023-8-13,2023,1.Div
AAB,12,1093.7833333333333,118180.51000000001,17155.9,6280.2,2365.68,949,416,469,64,c333df36-c0f8-4ecd-ac59-cb28ff9c8516,AAB - NVD : 2023-8-18,2023,1.Div
NVD,15,1097.7666666666667,119036.34,17516.17,6326.21,1999.48,907,557,304,46,c333df36-c0f8-4ecd-ac59-cb28ff9c8516,AAB - NVD : 2023-8-18,2023,1.Div
KIF,16,1090.2,120042.95,21333.44,9888.49,4234.04,1546,804,586,156,0363bfb2-5806-484a-a621-ed62419a9bd7,KIF - SJE : 2023-8-18,2023,1.Div
SJE,16,1090.2166666666667,123355.28,22183.600000000002,10395.880000000001,4476.09,1675,782,716,177,0363bfb2-5806-484a-a621-ed62419a9bd7,KIF - SJE : 2023-8-18,2023,1.Div
B93,16,1010.1333333333333,107754.55,16781.97,5707.01,1294.98,656,392,248,16,c1040461-3065-4645-a407-b955d2bb631d,B93 - FRE : 2023-8-18,2023,1.Div
FRE,16,1056.4666666666667,108525.44,14977.39,6097.3,1679.9199999999998,749,318,409,22,c1040461-3065-4645-a407-b955d2bb631d,B93 - FRE : 2023-8-18,2023,1.Div
ACH,16,1079.3833333333334,121254.93,18006.39,6625.009999999999,2112.45,841,450,341,50,ed6c094b-f8d9-4c20-9a98-c63aaeaa822b,ACH - HEL : 2023-8-18,2023,1.Div
HEL,16,1079.4,122603.27,18744.45,6737.29,2398.25,872,445,365,62,ed6c094b-f8d9-4c20-9a98-c63aaeaa822b,ACH - HEL : 2023-8-18,2023,1.Div
