team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
OB,2707406603,633,1,69,38,1,78.8,79.4,L. Kjerrumgaard,226.0,137.0,NaN,NaN,OB vs Hillerød,2024-08-10,91.2,13.8,0.00467202,NaN,NaN,NaN,46.5,5.0,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404685,633,1,67,2,1,36.2,88.1,J. Witt,218.0,132.0,NaN,NaN,OB vs Hillerød,2024-08-10,19.2,67.2,0.0000022,NaN,NaN,NaN,22.8,3.8,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707406661,634,1,69,41,1,90.6,21.2,L. Deedson,226.0,137.0,1.0,NaN,OB vs Hillerød,2024-08-10,93.3,53.1,0.2542009,NaN,NaN,15,21.9,1.4,true,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404719,634,1,67,8,1,18.4,67.6,A. Kappenberger,218.0,132.0,NaN,NaN,OB vs Hillerød,2024-08-10,27.3,77.8,0.00000287,NaN,NaN,NaN,11.6,0.6,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707406685,635,44,69,45,1,93.6,53.1,L. Kjerrumgaard,226.0,137.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404755,635,1,67,9,1,27.3,77.8,J. Witt,218.0,132.0,NaN,NaN,OB vs Hillerød,2024-08-10,30.3,61.2,0.00000604,NaN,NaN,NaN,11.7,5.0,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707406689,636,15,69,45,1,93.3,53.1,L. Kjerrumgaard,226.0,137.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,0.12726928293704987,0.6804319024085999,NaN,NaN,NaN,NaN,NaN,,true,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404773,636,1,67,11,1,32.4,60.8,B. Kücükylidiz,218.0,132.0,NaN,NaN,OB vs Hillerød,2024-08-10,43.2,66.4,0.00003083,NaN,NaN,NaN,12.0,0.3,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407113,637,1,70,13,0,43.5,33.1,A. Manneh,228.0,139.0,NaN,NaN,OB vs Hillerød,2024-08-10,27.7,42.2,NaN,NaN,NaN,NaN,17.7,2.8,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404781,637,1,67,12,1,43.2,66.4,M. Due Grandt,218.0,132.0,NaN,NaN,OB vs Hillerød,2024-08-10,34.2,59.6,0.00001402,NaN,NaN,NaN,10.5,3.6,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407251,638,7,70,17,1,36.8,24.1,A. Manneh,230.0,141.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404879,638,1,67,15,1,34.0,52.1,B. Kücükylidiz,218.0,132.0,NaN,NaN,OB vs Hillerød,2024-08-10,61.2,6.4,0.0001619,NaN,NaN,NaN,42.2,5.5,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407267,639,49,70,20,1,33.2,18.0,L. Owusu,230.0,141.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404885,639,61,67,19,0,59.8,5.6,C. Allen,218.0,132.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407353,640,1,70,24,1,35.4,9.8,L. Owusu,230.0,141.0,NaN,NaN,OB vs Hillerød,2024-08-10,29.2,10.1,0.0000032,NaN,NaN,NaN,6.5,3.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707405007,640,7,67,25,1,30.4,12.0,C. Allen,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
