Player,Metric,per 90
Asbjorn Bondergaard,Walking Distance,2856.69
Asker Beck,High Speed Running Count,119.1
Asker Beck,High Speed Running Distance,1112.02
Asker Beck,Jogging Count,507.43
Asker Beck,Jogging Distance,4143.21
Asker Beck,Low Speed Running Count,296.42
Asker Beck,Low Speed Running Distance,2082.46
Asker Beck,Sprinting Count,41.67
Asker Beck,Sprinting Distance,507.45
Asker Beck,Total Distance,9996.63
Asker Beck,Walking Count,334.97
Asker Beck,Walking Distance,2231.33
Ayo Simon Okosun,High Speed Running Count,93.71
Ayo Simon Okosun,High Speed Running Distance,801.31
Ayo Simon Okosun,Jogging Count,589.68
Ayo Simon Okosun,Jogging Distance,4875.67
Ayo Simon Okosun,Low Speed Running Count,271.98
Ayo Simon Okosun,Low Speed Running Distance,2130.06
Ayo Simon Okosun,Sprinting Count,28.94
Ayo Simon Okosun,Sprinting Distance,282.58
Ayo Simon Okosun,Total Distance,10395.0
Ayo Simon Okosun,Walking Count,399.94
Ayo Simon Okosun,Walking Distance,2535.35
Benjamin Hvidt,High Speed Running Count,112.15
Benjamin Hvidt,High Speed Running Distance,1080.76
Benjamin Hvidt,Jogging Count,543.5
Benjamin Hvidt,Jogging Distance,4661.24
Benjamin Hvidt,Low Speed Running Count,296.26
Benjamin Hvidt,Low Speed Running Distance,2181.28
Benjamin Hvidt,Sprinting Count,32.84
Benjamin Hvidt,Sprinting Distance,459.4
Benjamin Hvidt,Total Distance,10639.14
Benjamin Hvidt,Walking Count,371.5
Benjamin Hvidt,Walking Distance,2478.59
Berkant Bayrak,High Speed Running Count,20.25
Berkant Bayrak,High Speed Running Distance,89.08
Berkant Bayrak,Jogging Count,197.59
Berkant Bayrak,Jogging Distance,1222.95
Berkant Bayrak,Low Speed Running Count,34.38
Berkant Bayrak,Low Speed Running Distance,182.66
Berkant Bayrak,Sprinting Count,18.0
Berkant Bayrak,Sprinting Distance,46.58
Berkant Bayrak,Total Distance,4391.37
Berkant Bayrak,Walking Count,148.02
Berkant Bayrak,Walking Distance,3015.53
Bertram Kvist,High Speed Running Count,82.8
Bertram Kvist,High Speed Running Distance,545.9
Bertram Kvist,Jogging Count,563.4
Bertram Kvist,Jogging Distance,5269.18
Bertram Kvist,Low Speed Running Count,280.8
Bertram Kvist,Low Speed Running Distance,1820.81
Bertram Kvist,Minute Splits,900.0
Bertram Kvist,Sprinting Count,30.86
Bertram Kvist,Sprinting Distance,258.76
Bertram Kvist,Total Distance,10353.31
Bertram Kvist,Walking Count,415.8
Bertram Kvist,Walking Distance,2484.43
Berzan Kucukylidiz,High Speed Running Count,55.88
Berzan Kucukylidiz,High Speed Running Distance,560.72
Berzan Kucukylidiz,Jogging Count,511.51
Berzan Kucukylidiz,Jogging Distance,5330.28
Berzan Kucukylidiz,Low Speed Running Count,255.9
Berzan Kucukylidiz,Low Speed Running Distance,2138.2
Berzan Kucukylidiz,Minute Splits,942.86
Berzan Kucukylidiz,Sprinting Count,28.25
Berzan Kucukylidiz,Sprinting Distance,124.85
Berzan Kucukylidiz,Total Distance,9870.91
Berzan Kucukylidiz,Walking Count,348.09
Berzan Kucukylidiz,Walking Distance,2289.82
Bjorn Paulsen,High Speed Running Count,41.61
Bjorn Paulsen,High Speed Running Distance,352.47
Bjorn Paulsen,Jogging Count,422.96
Bjorn Paulsen,Jogging Distance,3925.15
Bjorn Paulsen,Low Speed Running Count,126.9
Bjorn Paulsen,Low Speed Running Distance,1000.38
Bjorn Paulsen,Minute Splits,942.86
Bjorn Paulsen,Sprinting Count,20.43
Bjorn Paulsen,Sprinting Distance,211.25
Bjorn Paulsen,Total Distance,8362.67
Bjorn Paulsen,Walking Count,327.0
Bjorn Paulsen,Walking Distance,3105.4
Casper Jorgensen,High Speed Running Count,94.29
Casper Jorgensen,High Speed Running Distance,745.27
Casper Jorgensen,Jogging Count,533.97
Casper Jorgensen,Jogging Distance,5323.65
Casper Jorgensen,Low Speed Running Count,270.16
Casper Jorgensen,Low Speed Running Distance,2041.5
Casper Jorgensen,Sprinting Count,31.3
Casper Jorgensen,Sprinting Distance,407.49
Casper Jorgensen,Total Distance,10822.2
Casper Jorgensen,Walking Count,378.06
Casper Jorgensen,Walking Distance,2429.73
Christ Tape,High Speed Running Count,75.96
Christ Tape,High Speed Running Distance,688.86
Christ Tape,Jogging Count,490.04
Christ Tape,Jogging Distance,4081.69
Christ Tape,Low Speed Running Count,208.03
Christ Tape,Low Speed Running Distance,1500.71
Christ Tape,Sprinting Count,29.7
Christ Tape,Sprinting Distance,298.64
Christ Tape,Total Distance,9165.2
Christ Tape,Walking Count,353.8
Christ Tape,Walking Distance,2716.27
Christian Enemark,High Speed Running Count,92.25
Christian Enemark,High Speed Running Distance,730.6
Christian Enemark,Jogging Count,387.21
Christian Enemark,Jogging Distance,3622.35
Christian Enemark,Low Speed Running Count,210.75
Christian Enemark,Low Speed Running Distance,1728.6
Christian Enemark,Sprinting Count,39.08
Christian Enemark,Sprinting Distance,492.39
Christian Enemark,Total Distance,8566.15
Christian Enemark,Walking Count,266.46
Christian Enemark,Walking Distance,2107.19
Christian Horby,High Speed Running Count,90.0
Christian Horby,High Speed Running Distance,577.26
Christian Horby,Jogging Count,569.25
Christian Horby,Jogging Distance,4676.02
Christian Horby,Low Speed Running Count,279.0
Christian Horby,Low Speed Running Distance,1703.16
Christian Horby,Sprinting Count,27.0
Christian Horby,Sprinting Distance,300.74
Christian Horby,Total Distance,10038.46
Christian Horby,Walking Count,400.5
Christian Horby,Walking Distance,2781.23
Christian Jakobsen,High Speed Running Count,74.24
Christian Jakobsen,High Speed Running Distance,649.09
Christian Jakobsen,Jogging Count,528.21
Christian Jakobsen,Jogging Distance,4234.29
Christian Jakobsen,Low Speed Running Count,231.72
Christian Jakobsen,Low Speed Running Distance,1751.17
Christian Jakobsen,Sprinting Count,25.25
Christian Jakobsen,Sprinting Distance,256.67
Christian Jakobsen,Total Distance,9738.09
Christian Jakobsen,Walking Count,356.07
Christian Jakobsen,Walking Distance,3010.21
Christian Jensen,High Speed Running Count,79.13
Christian Jensen,High Speed Running Distance,737.25
Christian Jensen,Jogging Count,544.11
Christian Jensen,Jogging Distance,4971.27
Christian Jensen,Low Speed Running Count,248.32
Christian Jensen,Low Speed Running Distance,2187.18
Christian Jensen,Minute Splits,942.86
Christian Jensen,Sprinting Count,25.89
Christian Jensen,Sprinting Distance,302.05
Christian Jensen,Total Distance,10096.58
Christian Jensen,Walking Count,383.74
Christian Jensen,Walking Distance,2378.36
Christian Vestergaard,High Speed Running Count,64.09
Christian Vestergaard,High Speed Running Distance,580.66
Christian Vestergaard,Jogging Count,547.69
Christian Vestergaard,Jogging Distance,5092.81
Christian Vestergaard,Low Speed Running Count,217.35
Christian Vestergaard,Low Speed Running Distance,1729.64
Christian Vestergaard,Sprinting Count,24.2
Christian Vestergaard,Sprinting Distance,250.09
Christian Vestergaard,Total Distance,10070.75
Christian Vestergaard,Walking Count,397.71
Christian Vestergaard,Walking Distance,2554.52
Christoffer Palm,High Speed Running Count,143.5
Christoffer Palm,High Speed Running Distance,956.67
Christoffer Palm,Jogging Count,545.13
Christoffer Palm,Jogging Distance,4750.52
Christoffer Palm,Low Speed Running Count,312.93
Christoffer Palm,Low Speed Running Distance,2018.82
Christoffer Palm,Sprinting Count,44.04
Christoffer Palm,Sprinting Distance,557.92
Christoffer Palm,Total Distance,10192.77
Christoffer Palm,Walking Count,350.52
Christoffer Palm,Walking Distance,2182.46
Chukwuemeka Nnamani,High Speed Running Count,70.3
Chukwuemeka Nnamani,High Speed Running Distance,570.38
Chukwuemeka Nnamani,Jogging Count,403.0
Chukwuemeka Nnamani,Jogging Distance,3290.66
Chukwuemeka Nnamani,Low Speed Running Count,163.5
Chukwuemeka Nnamani,Low Speed Running Distance,1045.35
Chukwuemeka Nnamani,Sprinting Count,27.26
Chukwuemeka Nnamani,Sprinting Distance,384.4
Chukwuemeka Nnamani,Total Distance,8584.38
Chukwuemeka Nnamani,Walking Count,275.11
Chukwuemeka Nnamani,Walking Distance,3470.93
Cornelius Allen,High Speed Running Count,72.58
Cornelius Allen,High Speed Running Distance,570.38
Cornelius Allen,Jogging Count,452.78
Cornelius Allen,Jogging Distance,4036.75
Cornelius Allen,Low Speed Running Count,170.63
Cornelius Allen,Low Speed Running Distance,1111.75
Cornelius Allen,Sprinting Count,27.08
Cornelius Allen,Sprinting Distance,404.59
Cornelius Allen,Total Distance,8470.5
Cornelius Allen,Walking Count,337.4
Cornelius Allen,Walking Distance,2606.86
Daniel Gadegaard Andersen,High Speed Running Count,22.33
Daniel Gadegaard Andersen,High Speed Running Distance,93.87
Daniel Gadegaard Andersen,Jogging Count,211.09
Daniel Gadegaard Andersen,Jogging Distance,1266.02
Daniel Gadegaard Andersen,Low Speed Running Count,43.52
Daniel Gadegaard Andersen,Low Speed Running Distance,286.0
Daniel Gadegaard Andersen,Minute Splits,900.0
Daniel Gadegaard Andersen,Sprinting Count,18.0
Daniel Gadegaard Andersen,Sprinting Distance,38.35
Daniel Gadegaard Andersen,Total Distance,4912.08
Daniel Gadegaard Andersen,Walking Count,145.16
Daniel Gadegaard Andersen,Walking Distance,3348.78
Daniel Haarbo,High Speed Running Count,58.71
Daniel Haarbo,High Speed Running Distance,522.12
Daniel Haarbo,Jogging Count,515.6
Daniel Haarbo,Jogging Distance,5776.08
Daniel Haarbo,Low Speed Running Count,237.57
Daniel Haarbo,Low Speed Running Distance,1999.99
Daniel Haarbo,Sprinting Count,30.0
Daniel Haarbo,Sprinting Distance,190.69
Daniel Haarbo,Total Distance,10689.49
Daniel Haarbo,Walking Count,388.74
Daniel Haarbo,Walking Distance,2280.04
Daniel Johansen,High Speed Running Count,75.0
Daniel Johansen,High Speed Running Distance,581.5
Daniel Johansen,Jogging Count,488.57
Daniel Johansen,Jogging Distance,4436.05
Daniel Johansen,Low Speed Running Count,204.3
Daniel Johansen,Low Speed Running Distance,1700.06
Daniel Johansen,Sprinting Count,30.0
Daniel Johansen,Sprinting Distance,367.05
Daniel Johansen,Total Distance,9668.67
Daniel Johansen,Walking Count,359.14
Daniel Johansen,Walking Distance,2768.99
Daniel Kristjansson,High Speed Running Count,106.72
Daniel Kristjansson,High Speed Running Distance,869.99
Daniel Kristjansson,Jogging Count,511.88
Daniel Kristjansson,Jogging Distance,4235.27
Daniel Kristjansson,Low Speed Running Count,265.48
Daniel Kristjansson,Low Speed Running Distance,1629.13
Daniel Kristjansson,Sprinting Count,38.96
Daniel Kristjansson,Sprinting Distance,565.73
Daniel Kristjansson,Total Distance,9303.03
Daniel Kristjansson,Walking Count,369.31
Daniel Kristjansson,Walking Distance,2135.08
Daniel Stenderup,High Speed Running Count,45.64
Daniel Stenderup,High Speed Running Distance,379.4
Daniel Stenderup,Jogging Count,424.48
Daniel Stenderup,Jogging Distance,3993.8
Daniel Stenderup,Low Speed Running Count,137.33
Daniel Stenderup,Low Speed Running Distance,985.95
Daniel Stenderup,Minute Splits,900.0
Daniel Stenderup,Sprinting Count,23.27
Daniel Stenderup,Sprinting Distance,229.16
Daniel Stenderup,Total Distance,8292.49
Daniel Stenderup,Walking Count,322.31
Daniel Stenderup,Walking Distance,2876.92
Daniel Thogersen,High Speed Running Count,76.41
Daniel Thogersen,High Speed Running Distance,671.69
Daniel Thogersen,Jogging Count,509.89
Daniel Thogersen,Jogging Distance,4535.18
Daniel Thogersen,Low Speed Running Count,219.0
Daniel Thogersen,Low Speed Running Distance,1505.46
Daniel Thogersen,Sprinting Count,30.12
Daniel Thogersen,Sprinting Distance,378.12
Daniel Thogersen,Total Distance,8660.09
Daniel Thogersen,Walking Count,368.13
Daniel Thogersen,Walking Distance,2188.98
Donavan Bagou,High Speed Running Count,48.0
Donavan Bagou,High Speed Running Distance,409.29
Donavan Bagou,Jogging Count,371.71
Donavan Bagou,Jogging Distance,3331.85
Donavan Bagou,Low Speed Running Count,141.71
Donavan Bagou,Low Speed Running Distance,1114.64
Donavan Bagou,Sprinting Count,18.0
Donavan Bagou,Sprinting Distance,339.82
Donavan Bagou,Total Distance,7041.96
Donavan Bagou,Walking Count,275.0
Donavan Bagou,Walking Distance,2260.57
Elias Hansborg-Sorensen,High Speed Running Count,90.0
Elias Hansborg-Sorensen,High Speed Running Distance,855.14
Elias Hansborg-Sorensen,Jogging Count,437.62
Elias Hansborg-Sorensen,Jogging Distance,3020.3
Elias Hansborg-Sorensen,Low Speed Running Count,221.62
Elias Hansborg-Sorensen,Low Speed Running Distance,1606.06
Elias Hansborg-Sorensen,Sprinting Count,27.0
Elias Hansborg-Sorensen,Sprinting Distance,428.06
Elias Hansborg-Sorensen,Total Distance,7423.29
Elias Hansborg-Sorensen,Walking Count,260.62
Elias Hansborg-Sorensen,Walking Distance,2140.4
Elias Sorensen,High Speed Running Count,106.21
Elias Sorensen,High Speed Running Distance,753.4
Elias Sorensen,Jogging Count,476.57
Elias Sorensen,Jogging Distance,3890.98
Elias Sorensen,Low Speed Running Count,223.0
Elias Sorensen,Low Speed Running Distance,1409.91
Elias Sorensen,Sprinting Count,43.0
Elias Sorensen,Sprinting Distance,555.57
Elias Sorensen,Total Distance,9800.97
Elias Sorensen,Walking Count,308.5
Elias Sorensen,Walking Distance,3231.19
Elias Valentin Andersen,High Speed Running Count,101.4
Elias Valentin Andersen,High Speed Running Distance,891.89
Elias Valentin Andersen,Jogging Count,440.34
Elias Valentin Andersen,Jogging Distance,3647.64
Elias Valentin Andersen,Low Speed Running Count,228.84
Elias Valentin Andersen,Low Speed Running Distance,1546.97
Elias Valentin Andersen,Sprinting Count,36.3
Elias Valentin Andersen,Sprinting Distance,491.97
Elias Valentin Andersen,Total Distance,8270.91
Elias Valentin Andersen,Walking Count,310.74
Elias Valentin Andersen,Walking Distance,2279.03
Elijah Just,High Speed Running Count,84.91
Elijah Just,High Speed Running Distance,798.08
Elijah Just,Jogging Count,456.6
Elijah Just,Jogging Distance,4739.03
Elijah Just,Low Speed Running Count,229.65
Elijah Just,Low Speed Running Distance,1762.69
Elijah Just,Sprinting Count,31.5
Elijah Just,Sprinting Distance,330.7
Elijah Just,Total Distance,9848.65
Elijah Just,Walking Count,316.58
Elijah Just,Walking Distance,2498.98
Emil Borella Jensen,High Speed Running Count,97.5
Emil Borella Jensen,High Speed Running Distance,1113.57
Emil Borella Jensen,Jogging Count,423.0
Emil Borella Jensen,Jogging Distance,3464.81
Emil Borella Jensen,Low Speed Running Count,255.0
Emil Borella Jensen,Low Speed Running Distance,1845.34
Emil Borella Jensen,Minute Splits,942.86
Emil Borella Jensen,Sprinting Count,24.0
Emil Borella Jensen,Sprinting Distance,370.86
Emil Borella Jensen,Total Distance,7145.02
Emil Borella Jensen,Walking Count,252.0
Emil Borella Jensen,Walking Distance,1306.5
Emil Holten,High Speed Running Count,101.72
Emil Holten,High Speed Running Distance,804.57
Emil Holten,Jogging Count,537.06
Emil Holten,Jogging Distance,4596.2
Emil Holten,Low Speed Running Count,249.67
Emil Holten,Low Speed Running Distance,1755.91
Emil Holten,Sprinting Count,36.93
Emil Holten,Sprinting Distance,577.66
Emil Holten,Total Distance,10443.11
Emil Holten,Walking Count,361.84
Emil Holten,Walking Distance,2797.83
Emil Normark Christensen,High Speed Running Count,42.67
Emil Normark Christensen,High Speed Running Distance,325.5
Emil Normark Christensen,Jogging Count,419.32
Emil Normark Christensen,Jogging Distance,4236.47
Emil Normark Christensen,Low Speed Running Count,123.26
Emil Normark Christensen,Low Speed Running Distance,959.03
Emil Normark Christensen,Sprinting Count,21.0
Emil Normark Christensen,Sprinting Distance,196.64
Emil Normark Christensen,Total Distance,8331.79
Emil Normark Christensen,Walking Count,326.12
Emil Normark Christensen,Walking Distance,2799.67
Emil Sogaard Jensen,High Speed Running Count,77.17
Emil Sogaard Jensen,High Speed Running Distance,669.46
Emil Sogaard Jensen,Jogging Count,515.16
Emil Sogaard Jensen,Jogging Distance,4866.86
Emil Sogaard Jensen,Low Speed Running Count,208.06
Emil Sogaard Jensen,Low Speed Running Distance,1432.32
Emil Sogaard Jensen,Sprinting Count,28.88
Emil Sogaard Jensen,Sprinting Distance,367.73
Emil Sogaard Jensen,Total Distance,9852.64
Emil Sogaard Jensen,Walking Count,375.11
Emil Sogaard Jensen,Walking Distance,2703.26
Emil Villumsen,High Speed Running Count,79.38
