x,y,playerName,teamName,pass_receiver,period,gameClock,label,date,bypassed_opponents,bypassed_defenders,closest_opponent_distance
25.3,33.9,J. Egeris,B 93,L. Henriksen,1,924.0,B 93 vs Esbjerg,2024-10-04,0,0,18.06
27.8,16.5,L. Henriksen,B 93,J. Egeris,1,926.0,B 93 vs Esbjerg,2024-10-04,0,0,17.15
24.7,29.1,J. Egeris,B 93,J. Okore,1,928.0,B 93 vs Esbjerg,2024-10-04,0,0,17.73
25.6,51.8,J. Okore,B 93,N. Morberg,1,931.0,B 93 vs Esbjerg,2024-10-04,0,0,13.97
34.1,67.9,N. Morberg,B 93,G. Hojbjerg,1,934.0,B 93 vs Esbjerg,2024-10-04,0,0,6.7
41.2,74.8,G. Hojbjerg,B 93,J. Egeris,1,938.0,B 93 vs Esbjerg,2024-10-04,-1,0,2.15
31.9,25.3,J. Egeris,B 93,J. Okore,1,946.0,B 93 vs Esbjerg,2024-10-04,0,0,9.31
26.6,46.3,J. Okore,B 93,N. Morberg,1,949.0,B 93 vs Esbjerg,2024-10-04,0,0,13.12
34.9,71.4,N. Morberg,B 93,G. Hojbjerg,1,952.0,B 93 vs Esbjerg,2024-10-04,5,1,14.02
65.6,71.4,G. Hojbjerg,B 93,O. Addo,1,956.0,B 93 vs Esbjerg,2024-10-04,-1,-1,2.14
68.0,102.0,M. Mouritz,B 93,J. Okore,1,971.0,B 93 vs Esbjerg,2024-10-04,0,0,3.25
50.9,86.3,J. Okore,B 93,N. Morberg,1,973.0,B 93 vs Esbjerg,2024-10-04,2,0,3.31
59.0,79.3,N. Morberg,B 93,G. Hojbjerg,1,974.0,B 93 vs Esbjerg,2024-10-04,-1,0,1.51
59.1,92.7,G. Hojbjerg,B 93,N. Morberg,1,975.0,B 93 vs Esbjerg,2024-10-04,0,0,7.16
55.8,81.5,N. Morberg,B 93,G. Hojbjerg,1,976.0,B 93 vs Esbjerg,2024-10-04,0,0,2.8
60.1,93.3,G. Hojbjerg,B 93,N. Morberg,1,977.0,B 93 vs Esbjerg,2024-10-04,0,0,2.82
28.8,-1.6,J. Mortensen,Esbjerg,T. Freriks,1,986.0,B 93 vs Esbjerg,2024-10-04,5,1,3.65
66.9,5.6,T. Freriks,Esbjerg,J. Mortensen,1,995.0,B 93 vs Esbjerg,2024-10-04,-1,0,0.91
54.5,8.8,J. Mortensen,Esbjerg,Y. Bourhane,1,996.0,B 93 vs Esbjerg,2024-10-04,1,0,4.82
57.0,24.7,Y. Bourhane,Esbjerg,A. Skipper,1,999.0,B 93 vs Esbjerg,2024-10-04,-2,0,3.47
34.2,86.0,N. Morberg,B 93,N. Thomsen,1,1003.0,B 93 vs Esbjerg,2024-10-04,1,0,1.84
60.9,24.2,Y. Bourhane,Esbjerg,L. From,1,1007.0,B 93 vs Esbjerg,2024-10-04,3,1,2.39
91.1,22.4,L. From,Esbjerg,L. Montano,1,1010.0,B 93 vs Esbjerg,2024-10-04,4,3,3.38
50.2,49.9,J. Voldby,B 93,N. Morberg,1,1072.0,B 93 vs Esbjerg,2024-10-04,-2,0,6.95
33.4,47.8,N. Morberg,B 93,J. Egeris,1,1080.0,B 93 vs Esbjerg,2024-10-04,-1,0,4.05
24.2,33.9,J. Egeris,B 93,J. Okore,1,1080.0,B 93 vs Esbjerg,2024-10-04,0,0,16.98
24.7,58.2,J. Okore,B 93,G. Hojbjerg,1,1081.0,B 93 vs Esbjerg,2024-10-04,1,0,12.17
30.6,80.0,G. Hojbjerg,B 93,A. Vaporakis,1,1083.0,B 93 vs Esbjerg,2024-10-04,-1,0,7.0
11.1,52.5,A. Vaporakis,B 93,J. Egeris,1,1088.0,B 93 vs Esbjerg,2024-10-04,0,0,21.54
32.1,25.8,J. Egeris,B 93,L. Henriksen,1,1097.0,B 93 vs Esbjerg,2024-10-04,0,0,2.72
30.7,81.0,J. Meyer,Esbjerg,N. Strunck,1,1101.0,B 93 vs Esbjerg,2024-10-04,4,0,3.52
48.3,57.6,A. Lausen,Esbjerg,A. Skipper,1,1106.0,B 93 vs Esbjerg,2024-10-04,-3,0,3.99
34.5,44.8,A. Skipper,Esbjerg,J. Meyer,1,1108.0,B 93 vs Esbjerg,2024-10-04,0,0,12.0
28.1,62.1,J. Meyer,Esbjerg,T. Stagaard,1,1110.0,B 93 vs Esbjerg,2024-10-04,0,0,7.15
32.7,89.6,T. Stagaard,Esbjerg,D. Gadegaard,1,1113.0,B 93 vs Esbjerg,2024-10-04,0,0,8.34
12.7,67.2,D. Gadegaard,Esbjerg,L. Montano,1,1116.0,B 93 vs Esbjerg,2024-10-04,5,0,6.46
