type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
ballPossession,37.7,62.3,NaN,5,6-10,45.8,54.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,11-15,42.5,57.5,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,16-20,31.0,69.0,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,21-25,23.3,76.7,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,26-30,30.6,69.4,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,31-35,41.8,58.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,36-40,19.4,80.6,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,41-45,55.3,44.7,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,46-50,50.8,49.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,51-55,51.7,48.3,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,56-60,34.3,65.7,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,61-65,48.8,51.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,66-70,8.9,91.1,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,71-75,41.3,58.7,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,76-80,29.2,70.8,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,81-85,45.8,54.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,5,86-90,54.4,45.6,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,15,0-15,36.2,63.8,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,15,16-30,27.5,72.5,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,15,31-45,36.1,63.9,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,15,46-60,47.4,52.6,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,15,61-75,32.6,67.4,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
