team_name,label,Transition xG difference,Transition xG,Transition xG against,Transition xG share
OB,Hobro vs OB 2024-08-25,1.31,1.31,0.0,0.61
OB,Horsens vs OB 2024-09-14,-0.16,0.31,-0.47,0.44
OB,Kolding vs OB 2024-09-27,-0.1,0.14,-0.25,0.29
OB,OB vs Esbjerg 2024-10-26,0.74,0.79,-0.05,0.29
OB,OB vs Fredericia 2024-08-21,0.52,1.1,-0.57,0.49
OB,OB vs HB Køge 2024-10-04,-0.37,0.48,-0.85,0.36
OB,OB vs Hillerød 2024-08-10,-0.3,0.13,-0.43,0.12
OB,OB vs Horsens 2024-11-09,0.08,0.55,-0.47,0.39
OB,OB vs Hvidovre 2024-08-03,0.44,0.78,-0.35,0.39
OB,OB vs Roskilde 2024-09-22,-0.2,0.52,-0.72,0.25
OB,OB vs Vendsyssel 2024-08-30,0.09,0.49,-0.41,0.18
OB,Roskilde vs OB 2024-10-18,0.32,0.37,-0.05,0.23
OB,Vendsyssel vs OB 2024-11-25,0.11,0.21,-0.1,0.25
Roskilde,B 93 vs Roskilde 2024-10-25,0.95,1.02,-0.07,0.72
Roskilde,Esbjerg vs Roskilde 2024-11-10,-0.89,0.32,-1.21,0.5
Roskilde,Fredericia vs Roskilde 2024-08-16,0.85,1.04,-0.19,0.66
Roskilde,Hillerød vs Roskilde 2024-08-02,-0.05,0.0,-0.05,0.0
Roskilde,Hobro vs Roskilde 2024-10-04,0.17,0.25,-0.08,0.66
Roskilde,Hvidovre vs Roskilde 2024-11-22,-0.12,0.37,-0.49,0.46
Roskilde,Kolding vs Roskilde 2024-08-24,-0.58,0.1,-0.68,0.69
Roskilde,OB vs Roskilde 2024-09-22,0.2,0.72,-0.52,0.59
Roskilde,Roskilde vs B 93 2024-07-27,-0.32,0.64,-0.96,0.41
Roskilde,Roskilde vs Esbjerg 2024-08-30,-0.3,0.5,-0.81,0.48
Roskilde,Roskilde vs HB Køge 2024-09-29,0.22,0.84,-0.62,0.7
Roskilde,Roskilde vs Hobro 2024-08-10,0.02,0.18,-0.16,0.58
Roskilde,Roskilde vs Horsens 2024-08-20,0.61,0.95,-0.33,0.57
Roskilde,Roskilde vs Hvidovre 2024-09-13,0.64,0.81,-0.16,0.46
Roskilde,Roskilde vs Kolding 2024-11-02,-0.11,0.16,-0.27,0.38
Roskilde,Roskilde vs OB 2024-10-18,-0.32,0.05,-0.37,0.11
Roskilde,Vendsyssel vs Roskilde 2024-07-19,-0.25,0.21,-0.46,0.48
Vendsyssel,B 93 vs Vendsyssel 2024-08-02,-0.14,1.0,-1.15,0.51
Vendsyssel,Esbjerg vs Vendsyssel 2024-08-17,-1.15,0.0,-1.15,0.0
