team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,107.0,44.0,292.0,293.0,set_piece_index
Roskilde,2703630859,798,1,78,39,0,99.5,99.5,R. Arabaci,273.0,187.0,NaN,NaN,Roskilde vs B 93,2024-07-27,96.8,58.4,NaN,NaN,NaN,NaN,28.1,4.6,true,NaN,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
Roskilde,2703630871,799,44,78,44,1,61.4,92.2,N. Zachariassen,NaN,187.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,2
Roskilde,2703631639,837,1,82,27,1,99.5,0.5,R. Arabaci,288.0,197.0,NaN,NaN,Roskilde vs B 93,2024-07-27,89.3,5.9,0.00064636,NaN,NaN,NaN,11.3,2.8,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
Roskilde,2703631641,838,1,82,31,0,94.6,4.1,N. Halse,288.0,197.0,NaN,NaN,Roskilde vs B 93,2024-07-27,94.1,7.1,NaN,NaN,NaN,NaN,2.1,1.8,NaN,true,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,2
Roskilde,2703631677,839,1,82,39,1,88.6,7.1,N. Halse,289.0,197.0,NaN,NaN,Roskilde vs B 93,2024-07-27,96.3,40.4,0.06753613,NaN,NaN,NaN,24.0,1.2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,3
Roskilde,2703631683,840,1,82,43,1,97.1,37.9,E. Nielsen,289.0,197.0,1.0,NaN,Roskilde vs B 93,2024-07-27,96.6,42.7,0.41574051,NaN,NaN,15,3.3,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,4
Roskilde,2703633719,937,1,91,9,0,99.5,0.5,M. Winkel,318.0,217.0,NaN,NaN,Roskilde vs B 93,2024-07-27,89.6,45.7,NaN,NaN,NaN,NaN,32.4,1.9,NaN,true,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
Roskilde,2703633741,938,1,91,15,1,58.2,28.6,N. Zachariassen,319.0,217.0,NaN,NaN,Roskilde vs B 93,2024-07-27,31.3,44.6,0.00002011,NaN,NaN,NaN,30.3,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,2
Roskilde,2703637003,978,15,82,43,1,95.8,40.9,V. Montell,289.0,197.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,0.16860331594944,0.370137482881546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,true,,NaN,NaN,NaN,NaN,5
Roskilde,2704293213,994,44,10,11,1,97.2,71.2,A. Maarup,44.0,23.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,6
B 93,2705197515,113,1,14,11,0,99.5,0.5,N. Mouritsen,42.0,26.0,NaN,,B 93 vs Vendsyssel,2024-08-02,97.7,51.9,NaN,NaN,NaN,NaN,35.0,1.6,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
B 93,2705197519,114,44,14,17,0,95.6,52.0,J. Egeris,NaN,26.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,2
B 93,2705197529,115,6,14,18,1,99.6,57.4,N. Mouritsen,NaN,26.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,3
B 93,2705197711,116,1,14,36,1,99.5,99.5,M. Mouritz,43.0,26.0,NaN,,B 93 vs Vendsyssel,2024-08-02,98.1,38.3,0.01369254,NaN,NaN,NaN,41.6,4.7,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
B 93,2705197713,117,1,14,37,0,98.9,30.3,N. Mouritsen,43.0,26.0,NaN,,B 93 vs Vendsyssel,2024-08-02,100.9,43.2,NaN,NaN,NaN,NaN,9.0,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,2
Vendsyssel,2705197977,130,1,15,43,1,99.5,0.5,K. Kusk,47.0,27.0,NaN,,B 93 vs Vendsyssel,2024-08-02,97.2,38.8,0.02667578,NaN,NaN,NaN,26.2,1.7,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
Vendsyssel,2705197983,131,61,15,47,0,97.2,38.8,M. Greve,47.0,27.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,2
B 93,2705200499,200,1,22,51,0,99.5,99.5,M. Mouritz,69.0,42.0,NaN,,B 93 vs Vendsyssel,2024-08-02,96.9,46.1,NaN,NaN,NaN,NaN,36.4,4.6,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
Vendsyssel,2705202155,236,1,27,39,1,99.3,0.7,K. Kusk,81.0,49.0,NaN,,B 93 vs Vendsyssel,2024-08-02,95.2,47.2,0.18430213,NaN,NaN,NaN,31.9,1.7,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
Vendsyssel,2705202157,237,4,27,43,0,92.2,50.6,O. Jebali,81.0,49.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,2
B 93,2705204933,318,1,35,46,0,99.5,0.5,N. Mouritsen,98.0,58.0,NaN,,B 93 vs Vendsyssel,2024-08-02,95.8,57.6,NaN,NaN,NaN,NaN,39.0,1.7,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
B 93,2705204959,319,13,35,51,1,77.6,49.4,F. Isaki,99.0,58.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,0.01835346221923828,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,true,,NaN,NaN,NaN,NaN,2
Vendsyssel,2705207329,329,1,41,37,1,99.8,0.2,K. Kusk,119.0,73.0,1.0,,B 93 vs Vendsyssel,2024-08-02,96.4,39.4,0.03585831,NaN,NaN,13,26.9,1.7,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
Vendsyssel,2705207345,331,13,41,40,1,96.4,39.4,M. Greve,119.0,73.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,0.05029138922691345,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,true,,NaN,NaN,NaN,NaN,3
B 93,2705194831,44,1,6,36,0,99.5,99.5,M. Mouritz,23.0,18.0,NaN,,B 93 vs Vendsyssel,2024-08-02,94.8,51.3,NaN,NaN,NaN,NaN,33.1,4.6,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
B 93,2705194841,45,6,6,41,1,97.9,42.0,M. Mouritz,NaN,18.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,2
B 93,2705195003,46,1,7,9,0,99.5,0.5,N. Mouritsen,24.0,18.0,NaN,,B 93 vs Vendsyssel,2024-08-02,95.8,41.6,NaN,NaN,NaN,NaN,28.2,1.7,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
B 93,2705195045,47,1,7,14,0,86.2,36.6,M. Wohlgemuth,NaN,18.0,NaN,,B 93 vs Vendsyssel,2024-08-02,87.6,64.2,NaN,NaN,NaN,NaN,18.8,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,2
B 93,2705195103,48,1,7,24,0,97.7,93.2,J. Egeris,25.0,18.0,NaN,,B 93 vs Vendsyssel,2024-08-02,92.6,93.5,NaN,NaN,NaN,NaN,5.4,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,3
B 93,2705195109,49,6,7,26,1,91.9,89.6,J. Egeris,NaN,18.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,4
B 93,2705195287,50,1,7,52,0,99.5,99.5,M. Mouritz,26.0,18.0,NaN,,B 93 vs Vendsyssel,2024-08-02,96.4,52.1,NaN,NaN,NaN,NaN,32.4,4.6,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
B 93,2705216001,528,1,53,49,1,99.5,99.5,M. Mouritz,158.0,105.0,NaN,,B 93 vs Vendsyssel,2024-08-02,89.9,50.3,0.04153393,NaN,NaN,NaN,34.9,4.4,NaN,true,NaN,NaN,NaN,NaN,true,NaN,,,NaN,,NaN,NaN,NaN,NaN,1
B 93,2705216021,529,6,53,50,1,93.6,59.1,M. Wohlgemuth,NaN,105.0,NaN,,B 93 vs Vendsyssel,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,NaN,NaN,NaN,2
