description,match_id,game_id,team_name,timeMin,timeSec,contestantId,frames_ball40,frames_success,success_pct,def_line_from_own_goal_mean,ball_from_own_goal_mean,percent_succes_mean
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,35,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,35.52453677368164,68.99373677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,36,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,36.092536773681644,69.40293677368165,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,37,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,36.94533677368164,68.84213677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,38,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,37.809336773681636,68.23413677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,39,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,38.68853677368164,68.00773677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,40,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,39.24893677368164,67.06653677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,41,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,39.93813677368164,63.99133677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,42,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,40.67933677368164,64.52333677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,43,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,41.35813677368164,65.53293677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,44,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,40.98093677368164,60.82333677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,45,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,40.09173677368164,55.49333677368164,100.0
