type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,league_name,country,date,home_team,away_team
territorialThird,28.6,21.2,50.2,15,16-30,43.2,11.9,44.9,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,15,31-45,18.4,28.1,53.5,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,15,46-60,29.9,16.2,53.9,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,15,61-75,31.0,23.2,45.8,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,15,76-90,24.6,27.3,48.1,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,45,0-45,28.9,20.0,51.1,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,45,46-90,28.3,22.4,49.3,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,52.8,47.2,NaN,5,0-5,64.1,35.9,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,6-10,64.2,35.8,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,11-15,50.0,50.0,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,16-20,60.5,39.5,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,21-25,55.4,44.6,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,26-30,41.3,58.7,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,31-35,30.8,69.2,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
