player_matchName,player_playerId,contestantId,team_name,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,label,match_id,date,totalLongBalls,accurateCrossNocorner,totalCross,possLostAll,goals,attemptsConcededIbox,goalAssist
J. Voldby,5mmgppapbchmcj9zdtyw0w5xw,ajtb177oqwawkdwbqhldmq6mx,B 93,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Lyngby vs B 93,bv5hq3a2l18r08hexey9bahhw,2025-07-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A. Kappenberger,8mswl5vzza12hylodrrsq3zvu,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,NaN,NaN,Goalkeeper,Centre,NaN,30,NaN,NaN,1,31,3,NaN,6,31,31,90,23,3,9,10,1,3,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,10,NaN,NaN,4,NaN,6,NaN
G. Arndal-Lauritzen,5i6n6yne6fh410vk7p7kkokmi,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,1,1,Defender,Left/Centre,NaN,64,NaN,6,5,36,1,NaN,28,79,39,90,32,12,2,40,13,20,NaN,5,NaN,1,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,11,NaN,NaN,18,NaN,6,NaN
J. Witt,5z7y55t2o577r8ki3i5855as,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,4,4,Defender,Centre,NaN,59,NaN,8,3,38,6,NaN,25,70,40,90,32,12,8,35,7,15,NaN,4,NaN,2,2,NaN,2,NaN,2,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,11,NaN,NaN,14,NaN,6,NaN
W. Glindtvad,559w0q3q2smb3aeotyi724s9g,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,1,NaN,Defender,Centre/Right,NaN,49,NaN,9,NaN,22,2,NaN,28,60,26,66,24,13,3,35,11,16,NaN,6,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,6,NaN,NaN,11,NaN,2,NaN
V. Dedes,a5ixxqmfo537cvlb0a9x5n2ms,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,3,1,Midfielder,Left,NaN,24,NaN,NaN,8,15,2,NaN,12,27,15,59,2,NaN,3,19,5,8,1,NaN,1,1,NaN,5,NaN,2,3,2,NaN,NaN,1,NaN,NaN,1,1,1,1,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,1,6,8,1,2,NaN
N. Schmidt,5dlh0fa9yo6z283w9p58xmnoq,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,5,2,Midfielder,Left/Centre,NaN,43,1,2,1,21,1,NaN,22,49,25,59,13,6,5,24,13,14,1,NaN,1,3,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,7,NaN,NaN,10,NaN,2,NaN
M. Mouritz,ezbixgm2km8iapnsl57bn4wkp,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,1,1,Midfielder,Centre/Right,NaN,40,NaN,2,6,13,1,NaN,30,45,15,81,12,12,3,37,15,17,NaN,NaN,1,2,NaN,3,NaN,2,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,5,NaN,6,10,NaN,3,NaN
C. Allen,81gka3mi69fh8gyehyy8xo9as,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,5,4,Midfielder,Right,NaN,30,1,7,10,9,1,1,23,45,12,90,14,8,2,40,15,24,1,3,1,1,NaN,7,NaN,NaN,5,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,3,2,7,23,NaN,6,NaN
T. Arndal,1n4eldqa7h9jvcx1693zqu06i,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,7,NaN,Attacking Midfielder,Centre,NaN,14,1,1,1,5,NaN,NaN,9,16,6,59,2,NaN,4,12,5,6,1,NaN,1,3,NaN,2,NaN,NaN,3,NaN,NaN,1,NaN,NaN,NaN,4,3,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,2,9,NaN,2,NaN
A. Justinussen,uiyol728wan4mxco2foplknp,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,7,1,Striker,Left/Centre,NaN,25,1,5,NaN,6,NaN,1,19,31,8,73,5,1,1,23,8,9,1,2,1,NaN,NaN,NaN,NaN,2,3,1,NaN,1,NaN,NaN,NaN,2,2,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,1,NaN,NaN,10,NaN,3,NaN
M. Etim,1fjkjzsei9slx2t4zhsqdkve1,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,7,3,Striker,Centre/Right,NaN,14,NaN,4,1,7,NaN,NaN,10,19,7,90,1,1,1,15,8,13,NaN,1,NaN,1,NaN,NaN,NaN,NaN,9,1,1,NaN,NaN,NaN,NaN,3,3,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,13,NaN,6,NaN
A. Alicino,7l7f98nn8gohmdacsdb2labkk,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,NaN,NaN,Substitute,NaN,Midfielder,5,NaN,2,1,2,NaN,NaN,3,7,2,10,2,1,1,6,1,2,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,1,NaN,1,3,NaN,3,NaN
L. Bøje-Larsen,elsygne5tjybbxrqgehtovnro,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,NaN,NaN,Substitute,NaN,Defender,11,NaN,NaN,4,2,NaN,NaN,11,17,2,32,4,2,NaN,18,5,10,1,NaN,1,NaN,NaN,2,NaN,1,2,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,4,1,2,8,NaN,4,NaN
A. Dithmer,ekbi29eljngvxgx9scbzwygwk,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
K. Enghardt,khqldwfq14b7giakss24l9t5,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S. Jalaei,e0u730to91qqtvvx16uhajz10,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2,1,Substitute,NaN,Attacker,5,NaN,2,1,NaN,NaN,NaN,5,6,NaN,32,1,NaN,NaN,6,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,1,NaN,4,NaN
R. Møller,9350utk4onh2hv5jznxqpkd7t,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
J. Lyshøj,7ck339p4vm40omvxzblra2zh0,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M. Veltz,3avg1grraylzm6xjt5kt18is4,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,1,NaN,Substitute,NaN,Attacker,6,1,1,NaN,NaN,NaN,NaN,6,7,NaN,17,1,NaN,NaN,7,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,2,NaN,3,NaN
H. Toftegaard,e2157naqwp1qdsgaxre307cb8,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2,1,Substitute,NaN,Midfielder,7,NaN,1,3,3,NaN,NaN,6,9,3,32,3,1,NaN,9,3,5,1,1,3,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,3412,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,1,NaN,2,3,NaN,4,NaN
V. Müller,a2l4ep71txn2edtjjcgewai5m,36g6ifzjliec1jqnbtf7yesme,AaB,NaN,NaN,Goalkeeper,Centre,NaN,8,NaN,1,NaN,7,1,NaN,5,15,8,90,26,11,10,23,3,11,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,24,NaN,NaN,19,NaN,11,NaN
M. Nielsen,bcdp9e3dezuaybm8ndrsanbx0,36g6ifzjliec1jqnbtf7yesme,AaB,6,3,Defender,Left,NaN,17,1,6,3,9,3,NaN,11,25,11,90,13,6,3,19,5,9,NaN,3,1,NaN,3,1,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,5,NaN,3,14,1,11,NaN
C. Olsson,5uo9saax5iqsctxq7w3si8w0k,36g6ifzjliec1jqnbtf7yesme,AaB,3,2,Defender,Left/Centre,NaN,28,NaN,1,NaN,21,NaN,NaN,9,36,24,90,15,5,NaN,14,1,5,NaN,1,NaN,NaN,3,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,10,NaN,NaN,9,NaN,11,NaN
E. Makolli,697f50qoetodmfe8ybcuey2ac,36g6ifzjliec1jqnbtf7yesme,AaB,3,2,Defender,Centre/Right,NaN,27,1,5,NaN,19,1,1,12,30,19,90,11,5,2,15,5,6,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,6,NaN,NaN,6,NaN,11,NaN
M. Kallesøe,a6ymx4wkrn260rtpb360nsiqd,36g6ifzjliec1jqnbtf7yesme,AaB,2,1,Defender,Right,NaN,15,1,4,NaN,8,NaN,1,7,21,9,40,8,7,2,12,4,7,NaN,2,NaN,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,5,NaN,NaN,10,NaN,2,NaN
F. Børsting,egwhlgopjtjkop7ozy7ltk1cl,36g6ifzjliec1jqnbtf7yesme,AaB,3,1,Defensive Midfielder,Left/Centre,NaN,19,NaN,7,2,6,NaN,NaN,15,25,6,90,7,4,1,23,10,14,3,3,3,1,1,2,1,1,3,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,4,NaN,2,12,NaN,11,NaN
A. Håpnes,5y2mfgruizah0ylcz7q1abw9g,36g6ifzjliec1jqnbtf7yesme,AaB,1,NaN,Defensive Midfielder,Centre/Right,NaN,33,NaN,4,2,14,3,NaN,19,44,19,90,20,11,6,25,13,16,1,NaN,1,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,6,NaN,NaN,13,NaN,11,NaN
O. Ross,5lz41celw55rz3zh8pohclw5w,36g6ifzjliec1jqnbtf7yesme,AaB,8,4,Attacking Midfielder,Left,NaN,13,2,2,3,2,1,NaN,12,17,3,57,2,2,1,15,7,10,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,1,NaN,1,9,NaN,4,NaN
M. Bomholt,ejixz16616b7krftxyzv9yiac,36g6ifzjliec1jqnbtf7yesme,AaB,3,NaN,Attacking Midfielder,Centre,NaN,28,4,6,2,5,2,1,24,36,7,82,14,8,7,30,17,21,1,1,1,2,NaN,NaN,NaN,1,1,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,2,NaN,NaN,13,NaN,7,NaN
V. Møller,5521epytthhw9afm2r3jn3384,36g6ifzjliec1jqnbtf7yesme,AaB,1,NaN,Attacking Midfielder,Right,NaN,7,NaN,1,NaN,1,NaN,NaN,6,11,1,57,4,3,1,10,3,7,NaN,NaN,1,1,2,NaN,2,1,2,1,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,1,NaN,NaN,7,NaN,4,1
K. John,5vrsflxiv2dgfa8199a2qxsve,36g6ifzjliec1jqnbtf7yesme,AaB,9,6,Striker,Centre,NaN,16,1,4,1,4,NaN,NaN,13,21,5,81,5,2,4,18,7,11,1,4,1,3,NaN,1,NaN,2,3,1,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,1,13,1,7,NaN
N. Arnórsson,brinkgys7026490q3ixx6h9uc,36g6ifzjliec1jqnbtf7yesme,AaB,1,NaN,Substitute,NaN,Defender,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M. Bonde,e7wytawxwiszq1aass5ujio7o,36g6ifzjliec1jqnbtf7yesme,AaB,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A. Diagne,ezi8426ran0bffeyfvloc2ihg,36g6ifzjliec1jqnbtf7yesme,AaB,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B. Pedersen,3tka46re2gsi9uw7pbxx5m0pg,36g6ifzjliec1jqnbtf7yesme,AaB,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A. Jasson,8bi1tlz62rjwyak4pnnzgp562,36g6ifzjliec1jqnbtf7yesme,AaB,2,1,Substitute,NaN,Attacker,14,1,1,1,4,1,NaN,10,15,4,34,3,NaN,2,11,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,2,NaN,7,NaN
M. Jiménez,8mkrj5bnkyhx8kutc4656cy96,36g6ifzjliec1jqnbtf7yesme,AaB,1,NaN,Substitute,NaN,Midfielder,3,NaN,NaN,NaN,1,NaN,NaN,2,3,1,9,2,1,NaN,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,1,NaN,NaN,NaN,NaN,4,NaN
A. Maarup,cf6zq49y8v1ekw07e7yi3uac,36g6ifzjliec1jqnbtf7yesme,AaB,6,2,Substitute,NaN,Midfielder,3,NaN,3,NaN,1,1,NaN,2,4,1,34,1,NaN,1,3,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,4,NaN,7,NaN
B. Skovgaard,cimgdip8em45rbnjq5fwlrx90,36g6ifzjliec1jqnbtf7yesme,AaB,1,1,Substitute,NaN,Attacker,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,1,10,NaN,NaN,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,1,3,NaN,4,NaN
C. Tcacenco,2s4umgp3yqnb2hubfoaxhwr2s,36g6ifzjliec1jqnbtf7yesme,AaB,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,Hillerød vs AaB,bvihobignz9mmm7itlzr049p0,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
K. Kristensen,45bcgucg627rhrdgt8tn9hd9m,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,NaN,NaN,Goalkeeper,Centre,NaN,34,NaN,4,NaN,34,2,NaN,5,40,37,90,33,10,10,16,5,10,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,25,NaN,NaN,14,NaN,10,NaN
S. Eng Strand,f5gja2wqjlm60rideia16jpm2,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,3,1,Defender,Left,NaN,12,1,8,1,6,3,NaN,7,16,9,90,4,1,3,10,3,4,1,4,1,NaN,NaN,3,NaN,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,NaN,1,3,11,NaN,10,NaN
A. Troelsen,bmkwmf5f2ssnw2cq7uga7yd5g,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,5,3,Defender,Left/Centre,NaN,32,NaN,4,NaN,28,NaN,NaN,10,37,29,90,13,5,NaN,15,4,6,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,5,NaN,NaN,6,NaN,10,NaN
A. Skipper,aqc0qritba195wf770gyd1149,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2,1,Defender,Centre/Right,NaN,53,NaN,7,1,37,3,NaN,16,58,39,90,21,9,7,19,7,10,2,6,2,4,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,10,NaN,NaN,6,NaN,10,NaN
J. Buus,s8c0oxnoqt6zi7pi88rwawvd,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,4,1,Defender,Right,NaN,26,NaN,3,5,12,3,NaN,15,33,13,90,14,6,3,23,10,15,2,1,2,NaN,4,3,4,NaN,4,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,4,1,3,14,NaN,10,NaN
M. Maden,15yli690oxmbr4dl1ksti2p9m,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,3,1,Midfielder,Left,NaN,13,NaN,1,NaN,6,NaN,NaN,7,16,9,56,5,3,2,7,5,5,1,NaN,1,1,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,3,NaN,NaN,3,NaN,6,NaN
L. Vigen,8k4wwchytdstpn0yhrxd5nbv9,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,5,NaN,Midfielder,Left/Centre,NaN,42,NaN,4,NaN,23,NaN,NaN,20,47,26,90,10,4,9,22,10,11,1,3,2,7,NaN,NaN,NaN,1,4,NaN,NaN,2,NaN,NaN,NaN,3,3,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,2,NaN,NaN,10,NaN,10,1
A. Lausen,ate1ymumg2iwzn8uyyf3ts222,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,6,3,Midfielder,Centre/Right,NaN,26,1,2,5,15,2,NaN,14,32,15,90,13,6,2,25,9,15,1,NaN,1,NaN,NaN,2,NaN,3,1,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,6,NaN,5,15,NaN,10,NaN
P. Bjur,6m4anciafmzc24s44xszymbc9,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,4,NaN,Midfielder,Right,NaN,7,2,1,3,1,NaN,NaN,6,13,1,73,7,1,3,13,5,11,2,NaN,2,2,NaN,1,NaN,2,7,2,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,1,NaN,1,10,NaN,8,NaN
L. From,6hmsrr08cllpl4iumu92zskbt,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,3,1,Striker,Left/Centre,NaN,11,NaN,4,3,2,NaN,NaN,12,15,2,83,4,1,3,17,10,14,1,NaN,1,2,NaN,3,NaN,4,8,4,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,2,2,3,7,1,9,NaN
J. Lucena,5sha6xhovfmuzd7rolx1om39w,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,5,3,Striker,Centre/Right,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,2,4,NaN,57,NaN,1,1,4,1,2,NaN,NaN,1,NaN,NaN,NaN,NaN,1,3,1,NaN,1,NaN,1,NaN,NaN,NaN,1,1,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,NaN,NaN,NaN,5,NaN,6,1
B. Baldursson,418pvntm5e5kcoeyjjnzm7hg4,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,Esbjerg vs Hvidovre,bvvrtxnqrk97bjs1us04z7axg,2025-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
