team,team_side,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
B93,away,479377,Carl Bjork,15,ST,10551.763661882827,2932.7908255720135,4836.339027531607,1573.430810876285,820.8526500836948,388.3554679288902,127.32886596379787,254.71817859074295,72.30198888400042,4209.312092259236,321.3781217929917,117.36435299616629,48.67187222752251,2046.2003462214807,46.70820935757152,16.27158146442178,6.355004852274948,8
B93,away,486813,Andreas Heimer Hansen,20,LCB,10025.623724335946,2807.1156379252784,4816.6163465710615,1587.4233033116802,576.6339610368345,237.83316931335486,87.37313978081882,46.42945275561222,24.64527836096968,3867.965709369172,380.45993918571276,182.92485625757809,58.08451868176627,2020.9265717208493,44.751496570760764,8.481553942069356,4.643342738082865,8
B93,away,486813,Andreas Heimer Hansen,20,RDM,10659.66812686175,2677.7168389696867,5364.3847906080255,1823.2545996145088,643.760995268968,150.55090240056072,75.69651305414403,11.04222884177326,16.08550902400561,4832.976344839671,496.0297879796741,137.9947432977046,57.71859120378483,2150.131067110566,23.361836341335206,1.5139302610828809,1.892412826353601,8
B93,away,512220,Roni Arabaci,28,RW,11032.453458767228,2815.2371032890596,5092.564044092089,1965.5563993745518,824.4393294839866,334.659951631609,124.68241271145877,172.10022196595662,62.6334401998572,4261.513330845419,372.88743612367904,129.8052742136285,53.95215479718269,2308.2205647009664,38.462097463346595,32.757641668686595,8.096817714418881,4
B93,away,550589,Kristaps Grabovskis,8,CAM,11070.958890780834,2638.2237898321578,5450.09875942593,2035.9352955485285,752.3483337387497,194.3658477256142,90.63488202383849,118.63974702018973,59.10970566772075,4828.382875212844,217.2478715640963,75.72610070542447,28.898078326441254,1266.1955728533205,26.310386767209923,0.0,2.627098029676478,5
B93,away,550589,Kristaps Grabovskis,8,LW,11019.612422540567,2847.2692172779593,4919.3457737268245,2093.077985902654,911.144150889785,248.77615849661876,111.47657676446667,162.2336460124263,67.2823370072395,4262.107290847616,370.49450058340295,77.7831328251477,39.931760178316296,1943.375547867793,53.32661084869863,8.762496722078687,4.262479578910883,5
B93,away,586849,Ludvig Fagersted Henriksen,2,RB,10544.885533971688,2887.988231066261,4816.175075867081,1902.9090745601561,698.152652848749,239.65839676970143,96.25023770282716,105.17057539960496,37.59604354065376,4073.88612315765,362.13738269320993,124.4169550586086,53.45909742474377,2106.3014524433265,50.11265940714817,10.072953563549142,5.195096737429632,9
B93,away,596072,Fisnik Isaki,18,CAM,12008.348156680373,2694.20094208395,5647.617787598571,2368.4131170707333,953.5462873336527,344.56301633417405,136.72262901957745,186.36575898794305,67.29293839433679,5063.37412910426,437.67185017768276,141.88902804262167,62.1357466584764,2186.885166369457,49.93231514443706,16.30894358136727,7.293943966764265,6
B93,away,624698,Adam Ahmad,14,LW,10732.547134935305,2728.2920517560074,4431.327171903881,1958.2624768946393,1052.4621072088723,562.192236598891,175.23105360443623,316.0924214417745,86.50646950092421,4554.887245841034,533.1903881700554,207.24953789279112,74.3068391866913,1875.9260628465804,64.01478743068391,38.839186691312385,14.417744916820702,6
B93,away,624698,Adam Ahmad,14,RW,10343.736762015009,3265.2000615189095,3920.385286009662,1634.4755679163234,966.6548437286325,557.0211799959168,144.7108537010604,266.8202643226347,70.92088440574683,4283.847834032778,471.09376736443846,275.1749123270771,70.2008698014684,1781.2600744619454,35.14614186312761,15.026125587467575,3.589099493845154,6
B93,away,625773,Osvald Gabriel Soe,4,LCB,9476.830870069947,2697.1793158058194,4717.797975709453,1433.561899338753,464.4290574370067,163.862718413454,59.96773976418286,13.282550365000649,11.711618719634785,3955.0757175362546,296.8430111033174,140.2272333631147,44.065836361546346,1684.421639405381,41.32542867026726,10.348300287810318,4.190284683001724,8
B93,away,625773,Osvald Gabriel Soe,4,RCB,9506.340817935199,2701.2819981205507,4552.340467140659,1452.2548092864479,574.7981368075735,225.6685617420906,83.17796229519915,28.671883766589843,21.598885849010745,3815.212667961183,354.7041365478688,177.5081417085172,55.67820591329851,1709.1819165006618,43.82522174761772,19.483886787061827,5.9008705328899,8
B93,away,647772,Osman Abdulkadir Addo,10,LW,10714.994231530092,3179.258065812953,4632.151542885272,1725.8106412769157,824.8611058618775,352.9163359006872,111.10094196288993,200.114597147352,57.49846939810178,4299.511318071299,383.2114947269866,144.98463890331809,49.97505642567154,1964.5681088894835,29.484304649042645,7.817099850017166,3.627416139116607,3
B93,away,711462,Sven Bech Leschly,33,RDM,11448.337877094973,2255.389944134078,5542.294525139666,2462.4603351955307,925.6746368715085,262.5063687150838,138.77094972067042,27.886927374301678,37.40782122905028,5400.374078212291,649.9548603351956,234.61944134078215,98.94972067039107,1920.384804469274,32.78614525139665,0.0,2.4134078212290504,1
B93,home,76507,Nicolaj Thomsen,27,LDM,11931.437956204378,2504.5808133472365,5862.828988529717,2591.1459854014597,810.2252346193952,162.6475495307612,94.78623566214807,78.4473409801877,46.92387904066735,5048.558915537018,474.8790406673618,83.68404588112617,47.862356621480714,1578.7069864442126,11.11157455683003,0.5067778936392076,0.0,2
B93,home,76507,Nicolaj Thomsen,27,RDM,12437.728249744114,2520.686284544524,5472.930399181167,2889.041453428864,1248.922722620266,306.13357215967244,135.4145342886387,96.29631525076765,53.88945752302967,5066.907881269191,640.3449334698055,209.8372569089048,75.99795291709313,2016.2118730808597,102.69396110542475,0.0,5.527123848515864,2
B93,home,132017,Nicklas Mouritsen,3,LB,11192.397613362671,2750.732538618434,4986.704804695259,1949.7986888137023,976.913636933359,528.2482180160465,149.10535663322236,289.0008646245002,71.55578155988461,4373.64380324334,435.40278069433816,210.19807274411997,67.36720000091742,2004.8252593432464,79.70075915950915,29.049010298429774,10.18237507242032,8
B93,home,162038,Mikkel Wohlgemuth,6,LDM,10854.378674542642,2688.748749953255,4938.253130903,2116.1946598720147,865.2781758584748,245.90262399675606,122.44860646548854,86.34394451802027,49.754974167029545,4382.34656960696,476.2748184317183,147.63453594820547,67.3821560078081,1727.5365054342292,44.074378306988244,11.925478166034157,5.311476290650887,7
B93,home,227436,Emil Normark Christensen,5,RCB,10256.536375376667,2961.2479552303057,4951.972018941024,1501.341799397331,584.7249246663797,257.2496771416272,81.36030994403788,47.39819199311235,9.298321136461473,4416.504950495049,472.1455015066724,202.7034007748601,69.73740852346104,1820.4950495049502,20.32845458458889,7.136461472234179,2.324580284115368,1
B93,home,247384,Frederik Ibsen,31,GK,5189.327114711591,3180.508428968944,1704.2219073452513,235.70218006740225,54.69561355562537,14.201248417644335,9.749187507588289,6.839254495184032,4.1678536986140795,1760.649339970858,30.134670750824498,5.036541226584722,4.4164919005494685,978.7753686551447,5.171967297156162,2.325523481096787,1.1648419084247408,4
B93,home,424535,Vito Hammershoy-Mistrati,30,RDM,11606.965914498078,2447.4848746378634,5156.309683451204,2622.170590214435,1110.5377690095863,270.46285862240364,144.75703799297537,107.00819153129122,62.98996735585329,4699.006020117061,607.0839155767694,157.26637193342575,78.7132095091991,1562.5284446355881,35.05552446094596,6.188178084948807,3.0538611279229784,6
B93,home,424543,Aris Vaporakis,1,GK,5827.766699170825,3365.079097118163,2012.0980400476399,328.3638783246682,98.47876886128647,23.74922330059917,15.106953492346767,7.386069646565029,4.32629183899019,2104.1676329838037,62.72843028048802,16.163153654034144,9.855795781047869,1176.7753720031255,5.657471323608321,0.19767441860465118,0.9248658723087078,4
B93,home,479377,Carl Bjork,15,ST,11060.006619729758,2767.787253988316,5183.134040023026,1786.363387936302,863.3124993668977,459.40400180291107,143.16943710450633,319.4654166652184,81.89065213179379,4467.63715810781,380.9964095055418,126.75174876342795,55.43008383982858,1837.4617715764596,38.86591071610058,13.192040224760275,5.848701132883957,8
B93,home,486813,Andreas Heimer Hansen,20,LCB,10306.338354596459,2706.1754090090535,4934.270542174204,1730.2950283599203,628.8465883845743,306.7519649504804,104.14753458380525,60.36740701469642,28.41223999931772,4141.353452736315,406.3495444106218,226.27654344339794,69.31757635654364,1674.986299217946,32.96521156637382,20.108062533979364,6.4177182279438805,8
B93,home,512220,Roni Arabaci,28,RW,11231.313166338894,2811.508947006297,5098.789664659735,1978.283345716896,897.978869245981,444.74892025709767,140.09218473078093,277.46796952543866,82.25860227743806,4290.222237150674,384.02028942971924,155.7026887155524,52.10518443032183,1859.164435133272,47.19407243264377,11.578262016106624,5.728398023021047,4
B93,home,550589,Kristaps Grabovskis,8,CAM,11925.719340334297,2499.907812776108,5243.263928762794,2671.1821735910817,1163.2208230574922,348.1403973425294,160.14274743699534,194.82246893718835,87.28134599659886,4785.879588616356,510.60880057054425,147.2118900553707,69.22555047239969,1548.0440370181693,32.0458111072182,6.106038349970316,3.63585096799679,7
B93,home,550589,Kristaps Grabovskis,8,LW,11237.17414077148,2673.8066728020867,5074.281494899476,2160.4579677456472,1019.8191886325197,308.80881669175164,131.50595091976223,195.64359380569687,69.07267374983023,4529.873800526097,489.9662803848303,104.2595626475318,60.30905031891941,1767.868526575684,37.85696130024626,8.905985182501473,2.124226851012578,7
B93,home,586849,Ludvig Fagersted Henriksen,2,RB,11329.449006810608,2689.2647981106356,5204.27363440169,2133.8116066682055,896.1566509861443,405.94569811352613,139.44656214537636,177.27701442828098,54.27531550994202,4504.588294238923,509.9378457432358,215.95687589691312,80.35443631350495,1827.9163093685409,40.25596402102927,12.709579967687521,4.816810321929398,8
B93,home,596072,Fisnik Isaki,18,CAM,11732.322216494034,2527.754941375236,5523.584614128111,2397.7769787907955,929.7487503627201,353.46326655689137,150.06410658459055,225.26463986899103,72.64002378643931,4951.461947119287,487.8033432184111,117.3041480895655,72.76222409654606,1805.3210152242286,31.304175569178614,10.891238079851927,4.661858701605189,4
B93,home,624698,Adam Ahmad,14,RW,11302.438652826066,3027.6250286569157,4359.210867669469,1973.4988363768416,1141.3797815747475,800.7155883807318,204.63255900652055,275.0416940720612,77.56353182967929,5249.242178457186,660.2829857247799,513.6186926928839,120.56184840580568,1692.1999074406995,43.03668581872046,12.054092539787142,6.507178771035579,3
B93,home,625773,Osvald Gabriel Soe,4,RCB,9857.34269428405,2565.7547926427274,4769.798080038059,1622.3678432152744,631.3568892570044,268.06632399719297,102.02871805776822,55.782918170919594,29.73042644923591,3996.0957950189327,402.4263365973607,202.2905736905373,68.75291172990173,1437.563525180891,26.717589007115883,9.99283213573606,3.5453798786305866,7
B93,home,647772,Osman Abdulkadir Addo,10,LW,10485.063936396311,3011.0872869880495,4516.584187378491,1765.8121301167814,823.709907379948,367.8622841252073,121.00137130521983,230.33591143824853,68.2425425657779,4126.471800622253,341.8385969858937,126.2026131811121,48.537568307015285,1608.465081880223,24.121986414371303,11.319189818108656,4.221260432426651,4
